Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ201030-148,MQ201030,LIB-Ejby-Molle-LT-709,,"","","",Ejby Mølle,2020-07-28,31,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-149,MQ201030,LIB-Ejby-Molle-LT-712,,"","","",Ejby Mølle,2020-08-04,32,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-150,MQ201030,LIB-Ejby-Molle-LT-715,,"","","",Ejby Mølle,2020-08-11,33,2020,Summer,"","","","","","",,,,,,,,,
MQ201030-151,MQ201030,LIB-Ejby-Molle-LT-718,,"","","",Ejby Mølle,2020-08-18,34,2020,Summer,"","","","","","",,,,,,,,,
MQ181123-37,MQ181123,LIB-Ejby-LT-337,,Ejby Moelle-LT-337,"","",Ejby Mølle,2017-11-16,46,2017,Fall,Alternating,"","","","","",,,,,,,22.49988626,7.770133549,
MQ181123-38,MQ181123,LIB-Ejby-LT-340,,Ejby Moelle-LT-340,"","",Ejby Mølle,2017-11-23,47,2017,Fall,Alternating,"","","","","",,,,,,,39.66854725,0.741096722,
MQ181123-39,MQ181123,LIB-Ejby-LT-343,,Ejby Moelle-LT-343,"","",Ejby Mølle,2017-11-28,48,2017,Fall,Alternating,"","","","","",,,,,,,31.30033214,5.81368879,
MQ181123-40,MQ181123,LIB-Ejby-LT-346,,Ejby Moelle-LT-346,"","",Ejby Mølle,2017-12-07,49,2017,Fall,Alternating,"","","","","",,,,,,,24.32662996,7.030301497,
MQ181123-41,MQ181123,LIB-Ejby-LT-349,,Ejby Moelle-LT-349,"","",Ejby Mølle,2017-12-12,50,2017,Fall,Alternating,"","","","","",,,,,,,38.1955503,9.249797653,
MQ181123-42,MQ181123,LIB-Ejby-LT-352,,Ejby Moelle-LT-352,"","",Ejby Mølle,2017-12-20,51,2017,Winter,Alternating,"","","","","",,,,,,,36.07079485,10.18185957,
MQ181123-43,MQ181123,LIB-Ejby-LT-355,,Ejby Moelle-LT-355,"","",Ejby Mølle,2018-01-03,1,2018,Winter,Alternating,"","","","","",,,,,,,65.98230129,2.684894779,
MQ181123-44,MQ181123,LIB-Ejby-LT-358,,Ejby Moelle-LT-358,"","",Ejby Mølle,2018-01-12,2,2018,Winter,Alternating,"","","","","",,,,,,,36.91250739,6.1779138,
MQ181123-45,MQ181123,LIB-Ejby-LT-361,,Ejby Moelle-LT-361,"","",Ejby Mølle,2018-01-18,3,2018,Winter,Alternating,"","","","","",,,,,,,34.98339324,12.84525496,
MQ181123-46,MQ181123,LIB-Ejby-LT-364,,Ejby Moelle-LT-364,"","",Ejby Mølle,2018-01-25,4,2018,Winter,Alternating,"","","","","",,,,,,,35.86264161,10.82051801,
MQ181123-47,MQ181123,LIB-Ejby-LT-367,,Ejby Moelle-LT-367,"","",Ejby Mølle,2018-01-31,5,2018,Winter,Alternating,"","","","","",,,,,,,38.10000455,10.47779239,
MQ181123-48,MQ181123,LIB-Ejby-LT-370,,Ejby Moelle-LT-370,"","",Ejby Mølle,2018-02-08,6,2018,Winter,Alternating,"","","","","",,,,,,,39.52636608,12.42285512,
MQ181123-49,MQ181123,LIB-Ejby-LT-374,,Ejby Moelle-LT-374,"","",Ejby Mølle,2018-02-15,7,2018,Winter,Alternating,"","","","","",,,,,,,38.21716184,10.97860178,
MQ181123-50,MQ181123,LIB-Ejby-LT-377,,Ejby Moelle-LT-377,"","",Ejby Mølle,2018-02-22,8,2018,Winter,Alternating,"","","","","",,,,,,,33.92215296,9.759459733,
MQ181123-51,MQ181123,LIB-Ejby-LT-380,,Ejby Moelle-LT-380,"","",Ejby Mølle,2018-02-26,9,2018,Winter,Alternating,"","","","","",,,,,,,45.23749943,1.23558276,
MQ181123-52,MQ181123,LIB-Ejby-LT-383,,Ejby Moelle-LT-383,"","",Ejby Mølle,2018-03-08,10,2018,Winter,Alternating,"","","","","",,,,,,,40.4897857,3.425991501,
