Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190919-221,MQ190919,LIB-Damhusaen-LT-D-126,,"",Fall,D,mean,Damhusåen-D,2018-10-11,41,2018,,"","","","","","",,,,,,,,,
MQ190919-222,MQ190919,LIB-Damhusaen-LT-D-127,,"",Fall,D,mean,Damhusåen-D,2018-10-16,42,2018,,"","","","","","",,,,,,,,,
MQ190919-223,MQ190919,LIB-Damhusaen-LT-D-128,,"",Fall,D,mean,Damhusåen-D,2018-10-18,42,2018,,"","","","","","",,,,,,,,,
MQ190919-224,MQ190919,LIB-Damhusaen-LT-D-129,,"",Fall,D,mean,Damhusåen-D,2018-10-22,43,2018,,"","","","","","",,,,,,,,,
MQ190919-225,MQ190919,LIB-Damhusaen-LT-D-130,,"",Fall,D,mean,Damhusåen-D,2018-10-26,43,2018,,"","","","","","",,,,,,,,,
MQ190919-226,MQ190919,LIB-Damhusaen-LT-D-131,,"",Fall,D,mean,Damhusåen-D,2018-10-30,44,2018,,"","","","","","",,,,,,,,,
MQ190919-227,MQ190919,LIB-Damhusaen-LT-D-132,,"",Fall,D,mean,Damhusåen-D,2018-11-01,44,2018,,"","","","","","",,,,,,,,,
MQ190919-228,MQ190919,LIB-Damhusaen-LT-D-133,,"",Fall,D,mean,Damhusåen-D,2018-11-08,45,2018,,"","","","","","",,,,,,,,,
MQ190919-229,MQ190919,LIB-Damhusaen-LT-D-134,,"",Fall,D,mean,Damhusåen-D,2018-11-12,46,2018,,"","","","","","",,,,,,,,,
MQ190919-230,MQ190919,LIB-Damhusaen-LT-D-135,,"",Fall,D,mean,Damhusåen-D,2018-11-15,46,2018,,"","","","","","",,,,,,,,,
MQ190919-231,MQ190919,LIB-Damhusaen-LT-D-136,,"",Fall,D,mean,Damhusåen-D,2018-11-20,47,2018,,"","","","","","",,,,,,,,,
MQ190919-232,MQ190919,LIB-Damhusaen-LT-D-137,,"",Fall,D,mean,Damhusåen-D,2018-11-22,47,2018,,"","","","","","",,,,,,,,,
MQ190919-233,MQ190919,LIB-Damhusaen-LT-D-138,,"",Fall,D,mean,Damhusåen-D,2018-11-27,48,2018,,"","","","","","",,,,,,,,,
MQ190919-234,MQ190919,LIB-Damhusaen-LT-D-139,,"",Fall,D,mean,Damhusåen-D,2018-12-04,49,2018,,"","","","","","",,,,,,,,,
MQ190919-236,MQ190919,LIB-Damhusaen-LT-D-141,,"",Fall,D,mean,Damhusåen-D,2018-12-10,50,2018,,"","","","","","",,,,,,,,,
MQ190919-237,MQ190919,LIB-Damhusaen-LT-D-142,,"",Winter,D,mean,Damhusåen-D,2018-12-18,51,2018,,"","","","","","",,,,,,,,,
MQ190919-238,MQ190919,LIB-Damhusaen-LT-D-143,,"",Winter,D,mean,Damhusåen-D,2018-12-20,51,2018,,"","","","","","",,,,,,,,,
MQ190919-239,MQ190919,LIB-Damhusaen-LT-D-144,,"",Winter,D,mean,Damhusåen-D,2019-01-04,1,2019,,"","","","","","",,,,,,,,,
MQ190919-240,MQ190919,LIB-Damhusaen-LT-D-145,,"",Winter,D,mean,Damhusåen-D,2019-01-07,2,2019,,"","","","","","",,,,,,,,,
MQ190919-241,MQ190919,LIB-Damhusaen-LT-D-146,,"",Winter,D,mean,Damhusåen-D,2019-01-10,2,2019,,"","","","","","",,,,,,,,,
MQ190919-242,MQ190919,LIB-Damhusaen-LT-D-147,,"",Winter,D,mean,Damhusåen-D,2019-01-14,3,2019,,"","","","","","",,,,,,,,,
MQ190919-243,MQ190919,LIB-Damhusaen-LT-D-148,,"",Winter,D,mean,Damhusåen-D,2019-01-17,3,2019,,"","","","","","",,,,,,,,,
MQ190919-244,MQ190919,LIB-Damhusaen-LT-D-149,,"",Winter,D,mean,Damhusåen-D,2019-01-24,4,2019,,"","","","","","",,,,,,,,,
MQ190919-245,MQ190919,LIB-Damhusaen-LT-D-150,,"",Winter,D,mean,Damhusåen-D,2019-01-31,5,2019,,"","","","","","",,,,,,,,,
MQ190919-246,MQ190919,LIB-Damhusaen-LT-D-151,,"",Winter,D,mean,Damhusåen-D,2019-02-07,6,2019,,"","","","","","",,,,,,,,,
