Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ221128-51,MQ221128,LIB-Hirtshals-LT-659,,"",Fall,"",Activated sludge,Hirtshals,2020-12-11,50,2020,,"","","","","","",,,,,,,,,
MQ221128-52,MQ221128,LIB-Hirtshals-LT-663,,"",Winter,"",Activated sludge,Hirtshals,2020-12-21,52,2020,,"","","","","","",,,,,,,,,
MQ221128-53,MQ221128,LIB-Hirtshals-LT-667,,"",Winter,"",Activated sludge,Hirtshals,2021-01-05,1,2021,,"","","","","","",,,,,,,,,
MQ221128-54,MQ221128,LIB-Hirtshals-LT-671,,"",Winter,"",Activated sludge,Hirtshals,2021-01-07,1,2021,,"","","","","","",,,,,,,,,
MQ221128-55,MQ221128,LIB-Hirtshals-LT-675,,"",Winter,"",Activated sludge,Hirtshals,2021-01-13,2,2021,,"","","","","","",,,,,,,,,
MQ221128-56,MQ221128,LIB-Hirtshals-LT-679,,"",Winter,"",Activated sludge,Hirtshals,2021-01-18,3,2021,,"","","","","","",,,,,,,,,
MQ221128-57,MQ221128,LIB-Hirtshals-LT-683,,"",Winter,"",Activated sludge,Hirtshals,2021-01-27,4,2021,,"","","","","","",,,,,,,,,
MQ221128-58,MQ221128,LIB-Hirtshals-LT-687,,"",Winter,"",Activated sludge,Hirtshals,2021-02-02,5,2021,,"","","","","","",,,,,,,,,
MQ221128-59,MQ221128,LIB-Hirtshals-LT-691,,"",Winter,"",Activated sludge,Hirtshals,2021-02-08,6,2021,,"","","","","","",,,,,,,,,
MQ221128-60,MQ221128,LIB-Hirtshals-LT-695,,"",Winter,"",Activated sludge,Hirtshals,2021-02-17,7,2021,,"","","","","","",,,,,,,,,
MQ221128-61,MQ221128,LIB-Hirtshals-LT-699,,"",Winter,"",Activated sludge,Hirtshals,2021-02-24,8,2021,,"","","","","","",,,,,,,,,
MQ221128-62,MQ221128,LIB-Hirtshals-LT-703,,"",Winter,"",Activated sludge,Hirtshals,2021-03-08,10,2021,,"","","","","","",,,,,,,,,
MQ221128-63,MQ221128,LIB-Hirtshals-LT-707,,"",Spring,"",Activated sludge,Hirtshals,2021-03-17,11,2021,,"","","","","","",,,,,,,,,
MQ221128-64,MQ221128,LIB-Hirtshals-LT-711,,"",Spring,"",Activated sludge,Hirtshals,2021-03-24,12,2021,,"","","","","","",,,,,,,,,
MQ221128-65,MQ221128,LIB-Hirtshals-LT-715,,"",Spring,"",Activated sludge,Hirtshals,2021-03-30,13,2021,,"","","","","","",,,,,,,,,
MQ221128-66,MQ221128,LIB-Hirtshals-LT-719,,"",Spring,"",Activated sludge,Hirtshals,2021-04-07,14,2021,,"","","","","","",,,,,,,,,
MQ221128-67,MQ221128,LIB-Hirtshals-LT-723,,"",Spring,"",Activated sludge,Hirtshals,2021-04-14,15,2021,,"","","","","","",,,,,,,,,
MQ221128-68,MQ221128,LIB-Hirtshals-LT-727,,"",Spring,"",Activated sludge,Hirtshals,2021-04-21,16,2021,,"","","","","","",,,,,,,,,
MQ221128-69,MQ221128,LIB-Hirtshals-LT-731,,"",Spring,"",Activated sludge,Hirtshals,2021-04-28,17,2021,,"","","","","","",,,,,,,,,
MQ221128-70,MQ221128,LIB-Hirtshals-LT-735,,"",Spring,"",Activated sludge,Hirtshals,2021-05-03,18,2021,,"","","","","","",,,,,,,,,
MQ221128-71,MQ221128,LIB-Hirtshals-LT-739,,"",Spring,"",Activated sludge,Hirtshals,2021-05-11,19,2021,,"","","","","","",,,,,,,,,
MQ221128-72,MQ221128,LIB-Hirtshals-LT-743,,"",Spring,"",Activated sludge,Hirtshals,2021-05-19,20,2021,,"","","","","","",,,,,,,,,
MQ221128-73,MQ221128,LIB-Hirtshals-LT-747,,"",Spring,"",Activated sludge,Hirtshals,2021-05-25,21,2021,,"","","","","","",,,,,,,,,
MQ221128-74,MQ221128,LIB-Hirtshals-LT-751,,"",Spring,"",Activated sludge,Hirtshals,2021-06-02,22,2021,,"","","","","","",,,,,,,,,
