Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ211213-124,MQ211213,LIB-Randers-LT-798,,"","","",Randers,2021-01-25,4,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-125,MQ211213,LIB-Randers-LT-800,,"","","",Randers,2021-02-01,5,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-126,MQ211213,LIB-Randers-LT-802,,"","","",Randers,2021-02-09,6,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-127,MQ211213,LIB-Randers-LT-804,,"","","",Randers,2021-02-18,7,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-128,MQ211213,LIB-Randers-LT-806,,"","","",Randers,2021-02-25,8,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-129,MQ211213,LIB-Randers-LT-808,,"","","",Randers,2021-03-02,9,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-130,MQ211213,LIB-Randers-LT-810,,"","","",Randers,2021-03-10,10,2021,Winter,"","","","","","",,,,,,,,,
MQ211213-131,MQ211213,LIB-Randers-LT-812,,"","","",Randers,2021-03-16,11,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-132,MQ211213,LIB-Randers-LT-814,,"","","",Randers,2021-03-25,12,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-133,MQ211213,LIB-Randers-LT-816,,"","","",Randers,2021-03-29,13,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-134,MQ211213,LIB-Randers-LT-818,,"","","",Randers,2021-04-06,14,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-135,MQ211213,LIB-Randers-LT-820,,"","","",Randers,2021-04-13,15,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-136,MQ211213,LIB-Randers-LT-822,,"","","",Randers,2021-04-22,16,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-137,MQ211213,LIB-Randers-LT-824,,"","","",Randers,2021-04-27,17,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-138,MQ211213,LIB-Randers-LT-826,,"","","",Randers,2021-05-06,18,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-139,MQ211213,LIB-Randers-LT-828,,"","","",Randers,2021-05-10,19,2021,Spring,"","","","","","",,,,,,,,,
MQ211213-140,MQ211213,LIB-Randers-LT-830,,"","","",Randers,2021-05-18,20,2021,Spring,"","","","","","",,,,,,,,,
