Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ190919-22,MQ190919,LIB-Damhusaen-LT-A-142,,"",Winter,A,AS,mean,Damhusåen-A,2019-01-04,1,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-23,MQ190919,LIB-Damhusaen-LT-A-143,,"",Winter,A,AS,mean,Damhusåen-A,2019-01-07,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-24,MQ190919,LIB-Damhusaen-LT-A-144,,"",Winter,A,AS,mean,Damhusåen-A,2019-01-10,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-25,MQ190919,LIB-Damhusaen-LT-A-145,,"",Winter,A,AS,mean,Damhusåen-A,2019-01-14,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-26,MQ190919,LIB-Damhusaen-LT-A-146,,"",Winter,A,AS,mean,Damhusåen-A,2019-01-17,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-27,MQ190919,LIB-Damhusaen-LT-A-147,,"",Winter,A,AS,mean,Damhusåen-A,2019-01-24,4,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-28,MQ190919,LIB-Damhusaen-LT-A-148,,"",Winter,A,AS,mean,Damhusåen-A,2019-01-31,5,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-29,MQ190919,LIB-Damhusaen-LT-A-149,,"",Winter,A,AS,mean,Damhusåen-A,2019-02-07,6,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-30,MQ190919,LIB-Damhusaen-LT-A-150,,"",Winter,A,AS,mean,Damhusåen-A,2019-02-14,7,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-31,MQ190919,LIB-Damhusaen-LT-A-151,,"",Winter,A,AS,mean,Damhusåen-A,2019-02-28,9,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-32,MQ190919,LIB-Damhusaen-LT-A-152,,"",Winter,A,AS,mean,Damhusåen-A,2019-03-08,10,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-33,MQ190919,LIB-Damhusaen-LT-A-153,,"",Winter,A,AS,mean,Damhusåen-A,2019-03-13,11,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-34,MQ190919,LIB-Damhusaen-LT-A-154,,"",Spring,A,AS,mean,Damhusåen-A,2019-03-21,12,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-35,MQ190919,LIB-Damhusaen-LT-A-155,,"",Spring,A,AS,mean,Damhusåen-A,2019-03-26,13,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-36,MQ190919,LIB-Damhusaen-LT-A-156,,"",Spring,A,AS,mean,Damhusåen-A,2019-03-29,13,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-37,MQ190919,LIB-Damhusaen-LT-A-157,,"",Spring,A,AS,mean,Damhusåen-A,2019-04-05,14,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-38,MQ190919,LIB-Damhusaen-LT-A-158,,"",Spring,A,AS,mean,Damhusåen-A,2019-04-09,15,2019,,"","","","","","",,,,,,,,,,,"",,
MQ181023-16,MQ181023,LIB-BB-Dam-A-20180312,,Dam-A-20180312,Winter,A,AS,mean,Damhusåen-A,2018-03-12,11,2018,,"","","","","","",,,,,,,21.68423905,8.762724569,,,"",,
MQ181023-17,MQ181023,LIB-BB-Dam-A-20180316,,Dam-A-20180316,Spring,A,AS,mean,Damhusåen-A,2018-03-16,11,2018,,"","","","","","",,,,,,,10.55328374,19.37277849,,,"",,
MQ181023-18,MQ181023,LIB-BB-Dam-A-20180320,,Dam-A-20180320,Spring,A,AS,mean,Damhusåen-A,2018-03-20,12,2018,,"","","","","","",,,,,,,16.11075528,14.35790797,,,"",,
MQ181023-19,MQ181023,LIB-BB-Dam-A-20180323,,Dam-A-20180323,Spring,A,AS,mean,Damhusåen-A,2018-03-23,12,2018,,"","","","","","",,,,,,,19.7332118,16.17501269,,,"",,
MQ181023-20,MQ181023,LIB-BB-Dam-A-20180328,,Dam-A-20180328,Spring,A,AS,mean,Damhusåen-A,2018-03-28,13,2018,,"","","","","","",,,,,,,12.79129921,20.58901758,,,"",,
MQ181023-21,MQ181023,LIB-BB-Dam-A-20180403,,Dam-A-20180403,Spring,A,AS,mean,Damhusåen-A,2018-04-03,14,2018,,"","","","","","",,,,,,,22.71271616,16.18589356,,,"",,
MQ181023-22,MQ181023,LIB-BB-Dam-A-20180406,,Dam-A-20180406,Spring,A,AS,mean,Damhusåen-A,2018-04-06,14,2018,,"","","","","","",,,,,,,10.1024782,15.02647678,,,"",,
MQ181023-23,MQ181023,LIB-BB-Dam-A-20180413,,Dam-A-20180413,Spring,A,AS,mean,Damhusåen-A,2018-04-13,15,2018,,"","","","","","",,,,,,,10.71217421,17.54721087,,,"",,
MQ181023-24,MQ181023,LIB-BB-Dam-A-20180416,,Dam-A-20180416,Spring,A,AS,mean,Damhusåen-A,2018-04-16,16,2018,,"","","","","","",,,,,,,12.7358723,13.48743864,,,"",,
MQ181023-25,MQ181023,LIB-BB-Dam-A-20180424,,Dam-A-20180424,Spring,A,AS,mean,Damhusåen-A,2018-04-24,17,2018,,"","","","","","",,,,,,,25.01724393,17.66931837,,,"",,
MQ181023-26,MQ181023,LIB-BB-Dam-A-20180430,,Dam-A-20180430,Spring,A,AS,mean,Damhusåen-A,2018-04-30,18,2018,,"","","","","","",,,,,,,18.70103956,13.38588389,,,"",,
MQ181023-27,MQ181023,LIB-BB-Dam-A-20180509,,Dam-A-20180509,Spring,A,AS,mean,Damhusåen-A,2018-05-09,19,2018,,"","","","","","",,,,,,,13.77912992,13.96982373,,,"",,
MQ181023-28,MQ181023,LIB-BB-Dam-A-20180516,,Dam-A-20180516,Spring,A,AS,mean,Damhusåen-A,2018-05-16,20,2018,,"","","","","","",,,,,,,28.27141942,16.95964407,,,"",,
MQ181023-29,MQ181023,LIB-BB-Dam-A-20180522,,Dam-A-20180522,Spring,A,AS,mean,Damhusåen-A,2018-05-22,21,2018,,"","","","","","",,,,,,,11.39207765,15.08088111,,,"",,
MQ181023-30,MQ181023,LIB-BB-Dam-A-20180529,,Dam-A-20180529,Spring,A,AS,mean,Damhusåen-A,2018-05-29,22,2018,,"","","","","","",,,,,,,16.42484111,12.82854172,,,"",,
MQ181023-31,MQ181023,LIB-BB-Dam-A-20180604,,Dam-A-20180604,Spring,A,AS,mean,Damhusåen-A,2018-06-04,23,2018,,"","","","","","",,,,,,,19.76277282,16.51836448,,,"",,
MQ181023-32,MQ181023,LIB-BB-Dam-A-20180611,,Dam-A-20180611,Spring,A,AS,mean,Damhusåen-A,2018-06-11,24,2018,,"","","","","","",,,,,,,19.69379711,8.031288536,,,"",,
MQ181023-33,MQ181023,LIB-BB-Dam-A-20180620,,Dam-A-20180620,Summer,A,AS,mean,Damhusåen-A,2018-06-20,25,2018,,"","","","","","",,,,,,,33.78947628,6.587760234,,,"",,
MQ181023-34,MQ181023,LIB-BB-Dam-A-20180627,,Dam-A-20180627,Summer,A,AS,mean,Damhusåen-A,2018-06-27,26,2018,,"","","","","","",,,,,,,23.7030103,4.939913437,,,"",,
MQ181023-35,MQ181023,LIB-BB-Dam-A-20180702,,Dam-A-20180702,Summer,A,AS,mean,Damhusåen-A,2018-07-02,27,2018,,"","","","","","",,,,,,,9.768685027,5.749933506,,,"",,
MQ181023-36,MQ181023,LIB-BB-Dam-A-20180716,,Dam-A-20180716,Summer,A,AS,mean,Damhusåen-A,2018-07-16,29,2018,,"","","","","","",,,,,,,17.00990294,6.876707692,,,"",,
MQ181023-37,MQ181023,LIB-BB-Dam-A-20180731,,Dam-A-20180731,Summer,A,AS,mean,Damhusåen-A,2018-07-31,31,2018,,"","","","","","",,,,,,,24.16736464,5.226442924,,,"",,
MQ181023-38,MQ181023,LIB-BB-Dam-A-20180806,,Dam-A-20180806,Summer,A,AS,mean,Damhusåen-A,2018-08-06,32,2018,,"","","","","","",,,,,,,15.57865694,3.897768213,,,"",,
MQ181023-39,MQ181023,LIB-BB-Dam-A-20180817,,Dam-A-20180817,Summer,A,AS,mean,Damhusåen-A,2018-08-17,33,2018,,"","","","","","",,,,,,,33.60595162,4.276180574,,,"",,
