ASV,MQ210118-6,MQ210118-8,MQ210118-10,MQ210118-13,MQ210118-14,MQ210118-15,MQ210118-16,MQ210118-20,MQ210118-21,MQ210118-27,MQ210118-28,MQ210118-29,MQ210118-30,MQ210118-31,MQ210118-32,MQ210118-33,MQ210118-35,MQ210118-36,MQ210118-37,MQ210118-38,MQ210118-39,MQ210118-41,MQ210118-45,MQ210118-47,MQ210118-48,MQ210118-49,MQ210118-50,MQ210118-52,MQ210118-53,MQ210118-54,MQ210118-55
ASV24,60,124,152,98,91,56,27,57,41,126,103,78,78,109,57,88,57,81,133,91,23,81,117,150,84,105,76,104,153,76,48
ASV26,396,551,399,267,204,219,144,213,167,303,246,234,250,343,313,312,328,735,756,730,504,676,877,730,515,527,479,480,678,644,595
ASV27,77,92,12,13,18,20,9,35,45,113,88,44,44,59,43,29,45,68,72,53,49,38,74,65,69,41,60,88,54,58,84
ASV28,77,102,236,156,141,148,167,121,99,31,42,43,70,83,71,68,57,100,122,125,108,93,341,156,186,182,150,270,286,226,248
ASV29,373,516,455,248,174,198,147,256,197,338,317,298,313,397,368,314,426,824,902,723,512,609,760,622,393,467,336,357,454,463,357
ASV30,61,88,31,21,10,15,10,22,17,38,40,35,33,47,33,27,50,81,124,92,67,57,95,77,57,59,37,36,54,59,45
ASV31,59,76,9,5,4,5,1,1,0,18,19,13,29,23,22,15,22,42,31,29,8,9,21,23,14,16,13,7,14,12,18
ASV32,150,272,463,582,448,505,417,742,672,556,391,294,311,345,291,267,261,556,575,546,406,442,653,463,336,367,283,251,219,202,230
ASV33,166,236,114,68,73,57,66,87,42,88,80,74,93,104,99,125,97,183,172,171,136,129,179,179,178,147,174,140,155,137,131
ASV34,24,24,69,79,51,26,48,40,24,13,11,7,16,27,8,16,3,17,15,18,29,11,41,28,25,25,27,23,25,23,33
ASV35,44,67,65,117,104,150,84,231,148,102,64,40,41,37,38,44,47,94,95,143,96,123,239,251,213,173,224,304,295,256,349
ASV36,215,287,235,176,156,137,113,121,75,162,136,120,102,126,114,116,150,317,393,305,243,344,626,567,428,476,398,455,555,679,621
ASV38,231,347,200,136,124,112,91,124,95,376,350,353,250,368,324,294,318,586,742,499,334,516,518,437,232,326,195,251,286,392,247
ASV41,307,438,44,37,21,38,27,37,24,50,29,32,21,39,41,48,56,99,117,116,78,97,208,183,145,163,133,175,146,142,137
ASV42,4,8,9,49,37,39,47,90,55,93,60,69,52,41,21,45,35,55,62,22,63,41,13,19,19,10,7,12,12,22,14
ASV43,67,69,132,160,146,164,109,227,134,213,240,183,213,241,189,188,209,439,427,434,357,319,461,397,307,258,237,331,340,256,276
ASV44,56,74,6,4,3,6,4,6,11,15,17,13,12,8,17,22,33,37,45,41,37,40,33,46,36,36,20,20,20,18,26
ASV45,106,106,218,332,234,220,110,101,92,145,126,134,214,212,130,147,155,222,276,251,165,195,436,424,390,294,243,261,359,226,185
ASV47,95,120,38,15,18,22,12,28,23,35,30,19,34,31,21,34,28,69,76,51,55,44,40,55,35,36,31,36,40,44,42
ASV51,126,149,8,5,2,3,1,7,3,8,8,6,8,16,16,18,23,49,63,39,33,25,37,41,25,40,46,24,20,16,27
ASV52,51,59,134,103,83,85,68,97,106,156,152,133,184,128,123,121,105,196,182,158,140,100,247,157,151,106,116,142,157,104,102
ASV53,55,67,84,88,64,80,55,103,75,126,138,114,127,129,104,104,161,299,328,237,175,140,168,130,84,110,73,93,105,73,59
ASV54,156,228,409,381,285,283,255,247,195,241,174,153,183,206,199,185,198,391,437,399,336,300,738,517,451,402,352,510,428,433,493
ASV55,114,147,19,13,11,8,4,32,38,28,27,16,41,34,30,24,48,121,132,100,47,42,63,71,26,51,18,22,24,11,14
ASV60,75,87,57,33,27,49,24,37,25,122,89,95,73,127,84,95,106,176,264,149,101,164,115,108,67,81,57,66,67,95,68
ASV63,45,40,127,71,73,86,94,78,78,61,77,67,105,98,95,102,67,92,178,111,117,96,368,236,352,319,315,387,365,215,219
ASV65,260,341,152,81,60,47,24,26,11,46,35,36,32,61,37,59,73,183,189,136,102,211,247,212,110,259,101,115,177,271,157
ASV67,110,130,48,48,26,32,24,41,36,83,63,57,31,80,45,45,64,93,116,80,78,101,100,77,64,65,37,61,75,67,54
ASV69,19,20,42,76,61,63,49,53,59,48,50,33,45,39,21,28,20,45,62,50,35,47,67,61,72,63,43,61,65,41,29
ASV71,38,59,87,89,71,70,84,99,77,169,193,150,152,231,189,148,182,307,338,301,165,210,263,229,142,154,135,156,172,192,162
ASV72,250,212,479,358,219,293,195,233,137,90,42,60,67,88,78,74,84,183,254,253,172,169,466,403,408,361,387,687,913,846,1171
ASV74,79,90,111,76,64,67,59,111,120,116,98,86,119,113,77,90,102,184,217,182,127,126,218,177,140,123,140,137,121,126,118
ASV76,62,102,140,183,245,312,265,385,396,295,185,91,56,58,22,14,10,16,11,13,2,1,4,4,5,2,3,6,7,5,20
ASV79,16,19,43,49,36,46,38,51,55,75,59,62,75,68,39,52,51,87,113,67,71,59,140,89,74,47,62,63,60,35,55
ASV81,63,58,123,134,115,132,106,165,151,95,103,101,156,171,151,125,143,193,275,240,160,136,233,183,168,143,123,151,111,96,100
ASV84,10,23,54,64,57,62,54,50,57,33,26,13,26,33,13,32,25,53,95,72,70,74,125,99,95,65,47,76,76,44,50
ASV88,52,58,134,131,118,117,90,188,185,106,88,112,188,189,154,171,168,268,345,314,200,220,346,200,232,187,153,160,139,116,142
ASV90,209,245,40,29,21,33,18,44,25,58,67,51,41,76,56,73,69,120,148,134,95,103,85,65,50,50,37,52,46,42,46
ASV92,49,79,39,51,33,33,30,49,47,77,63,61,87,67,59,72,101,210,211,226,143,101,160,107,82,87,80,56,81,54,55
ASV96,48,85,88,130,98,112,85,152,127,79,44,55,67,81,39,70,30,141,125,114,101,128,147,88,116,108,95,72,74,73,66
ASV97,155,208,33,27,29,23,14,68,53,53,46,29,26,31,22,25,43,72,75,45,40,37,56,50,35,43,37,34,27,34,41
ASV98,122,131,43,40,33,19,20,35,27,46,29,27,23,47,38,41,39,92,93,71,51,80,64,50,54,33,43,42,47,60,53
ASV99,20,18,52,78,46,57,54,55,52,48,28,17,24,25,22,14,13,20,27,36,11,27,56,27,24,39,31,32,29,24,31
ASV100,19,20,33,47,33,49,24,37,29,52,56,49,69,66,60,57,40,101,89,68,61,61,80,61,51,40,35,36,46,32,29
ASV103,9,3,27,48,36,28,29,47,35,6,3,2,14,5,5,2,1,0,8,2,7,3,3,3,6,6,4,12,8,15,9
ASV105,40,37,74,76,64,77,37,80,70,74,62,59,69,86,53,59,90,168,191,173,122,148,223,159,142,121,107,150,150,119,134
ASV107,13,20,14,13,3,12,7,11,3,17,6,13,10,11,12,13,20,24,42,31,23,32,66,39,27,31,29,43,57,69,53
ASV109,7,7,6,3,3,4,1,4,2,8,4,9,16,3,6,4,5,11,17,10,6,10,6,3,5,3,3,2,4,5,4
ASV110,35,37,73,66,45,32,37,52,46,55,57,66,81,90,79,77,90,133,173,165,121,103,192,151,122,112,91,103,95,88,100
ASV111,22,42,42,21,33,15,29,12,23,47,23,39,92,94,112,134,69,96,166,93,50,51,83,55,115,77,83,132,138,42,60
ASV112,59,62,71,67,44,62,34,80,65,146,118,110,97,107,85,122,207,342,400,366,208,170,297,185,146,144,155,149,133,95,142
ASV113,247,270,51,40,32,17,16,20,18,13,15,8,16,28,15,39,32,86,72,77,56,68,68,61,51,75,79,89,160,141,148
ASV115,35,39,75,87,74,84,40,106,70,93,89,59,74,78,68,40,63,125,168,139,107,123,173,143,149,113,92,127,130,134,100
ASV118,253,306,62,40,32,41,20,49,20,29,29,18,32,31,33,39,47,97,105,123,81,135,105,100,85,82,65,49,133,98,111
ASV119,56,59,15,14,17,17,14,19,10,21,18,13,16,17,14,15,18,31,33,30,23,32,38,31,24,25,24,19,25,19,22
ASV121,32,32,54,44,36,27,24,40,25,40,42,49,47,61,71,31,49,90,116,101,96,49,107,47,79,35,55,57,76,65,68
ASV122,84,72,138,169,152,143,128,286,263,239,153,173,226,227,213,148,169,323,392,304,269,226,402,221,231,154,146,164,161,97,126
ASV123,51,55,7,6,4,2,1,1,1,4,9,1,2,4,2,2,4,7,14,10,9,16,49,40,35,37,25,41,38,36,34
ASV127,14,6,24,13,14,20,21,65,68,69,45,44,41,39,27,21,19,48,37,31,20,28,61,43,37,18,33,26,25,29,19
ASV129,16,14,25,25,22,21,19,21,17,9,8,4,22,13,11,17,17,26,32,32,32,19,146,25,43,67,22,36,48,25,56
ASV130,61,65,35,25,17,14,11,12,11,12,16,14,21,15,18,8,20,56,57,53,48,54,49,49,30,37,20,37,45,56,34
