"Date"	"Flow_influent_[m3/h]"	"Precipitation_[mm]"	"SS_influent_[mg/l]"	"pH_influent"	"BOD5_influent_[mg/l]"	"COD_influent_[mg/l]"	"N_tot_influent_[mg/l]"	"NH4_N_influent_[mg/l]"	"P_tot_influent_[mg/l]"	"Cl_influent_[mg/l]"	"Conductivity_influent_[mS/m]"	"Fat_and_oil_influent_[mg/l]"	"SV_[ml/l]"	"SS_LT_[mg/l]"	"SVI_[ml/g]"	"DSV_[ml/l]"	"DSVI_[ml/g]"	"SS_RAS [mg/l]"	"Temperature_[C]"	"Aerobic SRT_[d]"	"DO_LT1_setpoint_[mg/l]"	"DO_LT1_value_[mg/l]"	"DO_LT2_setpoint_[mg/l]"	"DO_LT2_value_[mg/l]"	"DO_LT3_setpoint_[mg/l]"	"DO_LT3_value_[mg/l]"	"DO_LT4_setpoint_[mg/l]"	"DO_LT4_value_[mg/l]"	"DO_LT5_setpoint_[mg/l]"	"DO_LT5_value_[mg/l]"	"DO_LT6_setpoint_[mg/l]"	"DO_LT6_value_[mg/l]"	"Molasses_setpoint_[mg/l]"	"PAX_[mg/l]"	"FeCl_Grunddosering_[mg/l]"	"FeCl_Topdosering_[mg/l]"	"Flow_out [m3/d]"	"COD_out_[mg/l]"	"BOD5_out [mg/l]"	"SS_out_[mg/l]"	"NH4_N_out_[mg/l]"	"NO3_N_out_[mg/l]"	"PO4_P_out_[mg/l]"	"N_tot_out_[mg/l]"	"P_tot_out_[mg/l]"
2015-02-01	2480.78111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	10.6	2.40995850622407	1.11962962962963	1.65954198473282	0.462686567164179	1.98795180722892	0.821739130434783	2.19446808510638	0.816766467065868	1.89878048780488	0.662059620596206	1.66605839416058	0.406012658227848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-02-02	2437.47986111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	990	5.1	194.1176471	390	191.1764706	12.5	9.8	10.5	1.79752066115702	1.00845070422535	1.452	0.611224489795918	1.88033472803347	0.977777777777778	1.50042735042735	0.770694864048338	1.50702479338843	0.797272727272727	1.25808823529412	0.47716049382716	NA	NA	NA	NA	NA	NA	NA	NA	0.23	2.5	0.74	NA	NA
2015-02-03	2265.36958333333	0	180	7.7	160	450	31	21	5.1	620	270	31	NA	NA	NA	NA	NA	NA	9.8	10.3	2.16253776435045	1.00948717948718	1.25919732441472	0.623188405797101	1.88530805687204	1.0321568627451	1.9528	1.02730158730159	1.65575539568345	0.893292682926829	1.07772925764192	0.498376623376623	NA	NA	NA	NA	58060	43	4.5	24	0.042	3.2	0.71	5.1	1.5
2015-02-04	2116.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	10.6	2.44078014184397	1.07263843648208	2.46768707482993	0.608360128617363	1.92396694214876	1.01023102310231	2.07654320987654	1.04033898305085	2.02934362934363	0.875081967213115	1.59098039215686	0.557679180887372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-02-05	2051.92775453278	0	220	7.6	220	440	36	24	5.4	270	170	42	NA	NA	NA	NA	NA	NA	10	11.1	1.92564102564103	1.08884892086331	2.06268115942029	0.598679867986799	2.14978165938865	0.984333333333333	2.19620253164557	1.06546762589928	2.03625498007968	0.916382252559727	1.66135458167331	0.581099656357388	NA	NA	NA	NA	50380	36	3.5	13.6	0.455	4.8	0.74	6.1	1.15
2015-02-06	2240.76930555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.1	10.8	1.61844262295082	0.893928571428571	1.75909090909091	0.53265306122449	1.97565217391304	0.898892988929889	2.08059071729958	0.998154981549816	1.75921568627451	0.842281879194631	1.30325203252033	0.540061162079511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-02-07	2225.56208333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2	10.2	0.985467128027682	0.73935860058309	0.989310344827586	0.475696202531646	1.5204	0.923432343234323	1.40352941176471	0.874193548387097	1.40549019607843	0.894838709677419	0.916412213740458	0.544474393530997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-02-08	2207.39625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	9.8	1.12965517241379	0.816417910447761	1.14456140350877	0.622289156626506	1.44666666666667	0.921450151057402	1.38188679245283	0.831578947368421	1.24385964912281	0.909144542772861	0.82410071942446	0.572191011235955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-02-09	2163.37986111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	9.9	0.993127147766323	0.748863636363636	1.00633333333333	0.58089552238806	1.32701754385965	0.844807121661721	1.252	0.770028818443804	1.08689655172414	0.908761329305136	0.808389261744966	0.588860759493671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-02-10	2254.35402777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8	9.8	1.16818181818182	0.806744868035191	1.43784615384615	0.461830357142857	1.64296028880866	0.783962264150943	1.5637323943662	0.779108635097493	1.47870967741935	0.814054054054054	1.11513157894737	0.544321329639889	NA	NA	NA	NA	NA	NA	NA	NA	0.02	2.8	0.51	NA	NA
