ASV,Genus,Species
asv_1725,Unknown,asv_1725
asv_1726,Clitocybe,asv_1726
asv_1728,Other,asv_1728
asv_1729,Tricholomopsis,asv_1729
asv_1732,Unknown,asv_1732
asv_1733,Phialophora,asv_1733
asv_1734,Kondoa,asv_1734
asv_1739,Stemphylium,asv_1739
asv_1741,Amylocorticiaceae incertae sedis,asv_1741
asv_1742,Unknown Ascomycota,asv_1742
asv_1745,Sakaguchia,asv_1745
asv_1746,Unknown,asv_1746
asv_1747,Other,asv_1747
asv_1748,Didymocyrtis,asv_1748
asv_1753,Brunneofusispora,asv_1753
asv_1759,Paraconiothyrium,asv_1759
asv_1761,Torula,asv_1761
asv_1762,Simocybe,asv_1762
asv_1763,Unknown,asv_1763
asv_1764,Libertasomyces,Libertasomyces platani
asv_1767,Cladosporium,asv_1767
asv_1771,Devriesia,asv_1771
asv_1774,Unknown,asv_1774
asv_1778,Unknown,asv_1778
asv_1779,Unknown,asv_1779
asv_1784,Neodevriesia,asv_1784
