Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ201019-265,MQ201019,LIB-Avedore-LT-61,48852,"",Winter,LT3,AS,"",Avedøre,2020-03-05,10,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-266,MQ201019,LIB-Avedore-LT-63,48851,"",Spring,LT3,AS,"",Avedøre,2020-04-27,18,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-267,MQ201019,LIB-Avedore-LT-65,51725,"",Spring,LT3,AS,"",Avedøre,2020-05-25,22,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-268,MQ201019,LIB-Avedore-LT-67,49203,"",Spring,LT3,AS,"",Avedøre,2020-06-08,24,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-269,MQ201019,LIB-Avedore-LT-69,49702,"",Summer,LT3,AS,"",Avedøre,2020-06-22,26,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-270,MQ201019,LIB-Avedore-LT-82,52064,"",Summer,LT3,AS,"",Avedøre,2020-07-07,28,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-271,MQ201019,LIB-Avedore-LT-84,55611,"",Summer,LT3,AS,"",Avedøre,2020-07-23,30,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-272,MQ201019,LIB-Avedore-LT-86,52880,"",Summer,LT3,AS,"",Avedøre,2020-08-04,32,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-273,MQ201019,LIB-Avedore-LT-88,56322,"",Summer,LT3,AS,"",Avedøre,2020-08-19,34,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201019-274,MQ201019,LIB-Avedore-LT-92,56181,"",Summer,LT3,AS,"",Avedøre,2020-08-24,35,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220601-197,MQ220601,LIB-Avedoere-LT-137,,"",Spring,LT3,AS,Activated sludge,Avedøre,2021-04-08,14,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-198,MQ220601,LIB-Avedoere-LT-139,,"",Spring,LT3,AS,Activated sludge,Avedøre,2021-04-20,16,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-199,MQ220601,LIB-Avedoere-LT-147,,"",Spring,LT3,AS,Activated sludge,Avedøre,2021-04-26,17,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-200,MQ220601,LIB-Avedoere-LT-149,,"",Spring,LT3,AS,Activated sludge,Avedøre,2021-05-10,19,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-201,MQ220601,LIB-Avedoere-LT-151,,"",Spring,LT3,AS,Activated sludge,Avedøre,2021-05-19,20,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-202,MQ220601,LIB-Avedoere-LT-159,,"",Spring,LT3,AS,Activated sludge,Avedøre,2021-06-09,23,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-203,MQ220601,LIB-Avedoere-LT-163,,"",Summer,LT3,AS,Activated sludge,Avedøre,2021-06-16,24,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-204,MQ220601,LIB-Avedoere-LT-171,,"",Summer,LT3,AS,Activated sludge,Avedøre,2021-06-21,25,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-205,MQ220601,LIB-Avedoere-LT-173,,"",Summer,LT3,AS,Activated sludge,Avedøre,2021-07-06,27,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-206,MQ220601,LIB-Avedoere-LT-175,,"",Summer,LT3,AS,Activated sludge,Avedøre,2021-07-15,28,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-207,MQ220601,LIB-Avedoere-LT-183,,"",Summer,LT3,AS,Activated sludge,Avedøre,2021-07-21,29,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-208,MQ220601,LIB-Avedoere-LT-185,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-09-15,37,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-209,MQ220601,LIB-Avedoere-LT-193,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-09-17,37,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-210,MQ220601,LIB-Avedoere-LT-195,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-09-30,39,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-211,MQ220601,LIB-Avedoere-LT-197,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-10-07,40,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-212,MQ220601,LIB-Avedoere-LT-199,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-10-18,42,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-213,MQ220601,LIB-Avedoere-LT-207,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-10-25,43,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-214,MQ220601,LIB-Avedoere-LT-209,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-11-16,46,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-215,MQ220601,LIB-Avedoere-LT-211,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-11-19,46,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-216,MQ220601,LIB-Avedoere-LT-219,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-11-29,48,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-217,MQ220601,LIB-Avedoere-LT-221,,"",Fall,LT3,AS,Activated sludge,Avedøre,2021-12-13,50,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-218,MQ220601,LIB-Avedoere-LT-223,,"",Winter,LT3,AS,Activated sludge,Avedøre,2021-12-16,50,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-219,MQ220601,LIB-Avedoere-LT-233,,"",Winter,LT3,AS,Activated sludge,Avedøre,2022-01-18,3,2022,,"","","","","","",,,,,,,,,,,"",,
