Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190702-143,MQ190702,LIB-Aalborg-W-LT-601,50072,,Summer,Activated sludge,,Aalborg W,2018-09-11,37,2018,,,,,,,,,,,,,,,,17.5
MQ190702-145,MQ190702,LIB-Aalborg-W-LT-605,48784,,Fall,Activated sludge,,Aalborg W,2018-09-18,38,2018,,,,,,,,,,,,,,,,17.4
MQ190702-147,MQ190702,LIB-Aalborg-W-LT-609,43322,,Fall,Activated sludge,,Aalborg W,2018-09-24,39,2018,,,,,,,,,,,,,,,,
MQ190702-149,MQ190702,LIB-Aalborg-W-LT-613,71615,,Fall,Activated sludge,,Aalborg W,2018-10-03,40,2018,,,,,,,,,,,,,,,,16.2
MQ190702-151,MQ190702,LIB-Aalborg-W-LT-617,48655,,Fall,Activated sludge,,Aalborg W,2018-10-09,41,2018,,,,,,,,,,,,,,,,16.2
MQ190702-153,MQ190702,LIB-Aalborg-W-LT-621,73189,,Fall,Activated sludge,,Aalborg W,2018-10-16,42,2018,,,,,,,,,,,,,,,,
MQ190702-155,MQ190702,LIB-Aalborg-W-LT-625,74879,,Fall,Activated sludge,,Aalborg W,2018-10-23,43,2018,,,,,,,,,,,,,,,,14.5
MQ190702-157,MQ190702,LIB-Aalborg-W-LT-629,77330,,Fall,Activated sludge,,Aalborg W,2018-10-30,44,2018,,,,,,,,,,,,,,,,13.9
MQ190702-159,MQ190702,LIB-Aalborg-W-LT-633,68532,,Fall,Activated sludge,,Aalborg W,2018-11-05,45,2018,,,,,,,,,,,,,,,,
MQ190702-161,MQ190702,LIB-Aalborg-W-LT-637,38092,,Fall,Activated sludge,,Aalborg W,2018-11-13,46,2018,,,,,,,,,,,,,,,,14
MQ190702-163,MQ190702,LIB-Aalborg-W-LT-641,25327,,Fall,Activated sludge,,Aalborg W,2018-11-20,47,2018,,,,,,,,,,,,,,,,13.3
MQ190702-165,MQ190702,LIB-Aalborg-W-LT-645,40982,,Fall,Activated sludge,,Aalborg W,2018-11-27,48,2018,,,,,,,,,,,,,,,,
MQ190702-167,MQ190702,LIB-Aalborg-W-LT-649,34946,,Fall,Activated sludge,,Aalborg W,2018-12-03,49,2018,,,,,,,,,,,,,,,,
MQ190702-169,MQ190702,LIB-Aalborg-W-LT-653,60650,,Fall,Activated sludge,,Aalborg W,2018-12-11,50,2018,,,,,,,,,,,,,,,,
MQ190702-171,MQ190702,LIB-Aalborg-W-LT-657,51618,,Winter,Activated sludge,,Aalborg W,2018-12-18,51,2018,,,,,,,,,,,,,,,,
MQ190702-173,MQ190702,LIB-Aalborg-W-LT-661,72153,,Winter,Activated sludge,,Aalborg W,2019-01-03,1,2019,,,,,,,,,,,,,,,,
MQ190702-178,MQ190702,LIB-Aalborg-W-LT-665,27587,,Winter,Activated sludge,,Aalborg W,2019-01-11,2,2019,,,,,,,,,,,,,,,,
MQ190702-180,MQ190702,LIB-Aalborg-W-LT-669,34564,,Winter,Activated sludge,,Aalborg W,2019-01-18,3,2019,,,,,,,,,,,,,,,,
MQ190702-182,MQ190702,LIB-Aalborg-W-LT-673,21250,,Winter,Activated sludge,,Aalborg W,2019-01-25,4,2019,,,,,,,,,,,,,,,,
MQ190702-184,MQ190702,LIB-Aalborg-W-LT-677,33127,,Winter,Activated sludge,,Aalborg W,2019-02-01,5,2019,,,,,,,,,,,,,,,,
MQ190702-186,MQ190702,LIB-Aalborg-W-LT-681,57597,,Winter,Activated sludge,,Aalborg W,2019-02-08,6,2019,,,,,,,,,,,,,,,,
MQ190702-188,MQ190702,LIB-Aalborg-W-LT-685,63203,,Winter,Activated sludge,,Aalborg W,2019-02-15,7,2019,,,,,,,,,,,,,,,,
MQ190702-190,MQ190702,LIB-Aalborg-W-LT-689,45968,,Winter,Activated sludge,,Aalborg W,2019-02-21,8,2019,,,,,,,,,,,,,,,,
MQ190702-192,MQ190702,LIB-Aalborg-W-LT-693,68648,,Winter,Activated sludge,,Aalborg W,2019-03-05,10,2019,,,,,,,,,,,,,,,,
MQ190702-194,MQ190702,LIB-Aalborg-W-LT-697,66902,,Winter,Activated sludge,,Aalborg W,2019-03-12,11,2019,,,,,,,,,,,,,,,,
MQ190702-196,MQ190702,LIB-Aalborg-W-LT-701,70943,,Spring,Activated sludge,,Aalborg W,2019-03-19,12,2019,,,,,,,,,,,,,,,,
MQ190702-198,MQ190702,LIB-Aalborg-W-LT-705,47186,,Spring,Activated sludge,,Aalborg W,2019-03-26,13,2019,,,,,,,,,,,,,,,,
MQ200420-67,MQ200420,LIB-AalborgW-LT-723,47365,,Spring,Activated sludge,,Aalborg W,2019-04-01,14,2019,,,,,,,,,,,,,,,,
MQ200420-70,MQ200420,LIB-AalborgW-LT-729,47858,,Spring,Activated sludge,,Aalborg W,2019-04-15,16,2019,,,,,,,,,,,,,,,,
MQ200420-72,MQ200420,LIB-AalborgW-LT-733,44247,,Spring,Activated sludge,,Aalborg W,2019-04-30,18,2019,,,,,,,,,,,,,,,,
MQ200420-74,MQ200420,LIB-AalborgW-LT-737,35616,,Spring,Activated sludge,,Aalborg W,2019-05-07,19,2019,,,,,,,,,,,,,,,,
MQ200420-76,MQ200420,LIB-AalborgW-LT-741,38564,,Spring,Activated sludge,,Aalborg W,2019-05-21,21,2019,,,,,,,,,,,,,,,,
MQ200420-80,MQ200420,LIB-AalborgW-LT-749,43204,,Summer,Activated sludge,,Aalborg W,2019-06-18,25,2019,,,,,,,,,,,,,,,,
MQ200420-82,MQ200420,LIB-AalborgW-LT-753,36449,,Summer,Activated sludge,,Aalborg W,2019-07-01,27,2019,,,,,,,,,,,,,,,,
MQ200420-84,MQ200420,LIB-AalborgW-LT-757,37980,,Summer,Activated sludge,,Aalborg W,2019-07-17,29,2019,,,,,,,,,,,,,,,,
MQ200420-86,MQ200420,LIB-AalborgW-LT-761,27601,,Summer,Activated sludge,,Aalborg W,2019-07-29,31,2019,,,,,,,,,,,,,,,,
MQ200420-88,MQ200420,LIB-AalborgW-LT-765,2846,,Summer,Activated sludge,,Aalborg W,2019-08-15,33,2019,,,,,,,,,,,,,,,,
MQ200420-90,MQ200420,LIB-AalborgW-LT-769,36672,,Summer,Activated sludge,,Aalborg W,2019-08-26,35,2019,,,,,,,,,,,,,,,,
