Date	Temperature_C	inflow_m3d	SS_kgm3
20/07/2018	20.72	34737	4.17
21/07/2018	20.92	33480	4.22
22/07/2018	21.08	33946	4.46
23/07/2018	21.15	34867	4.51
24/07/2018	21.6	36308	4.35
25/07/2018	21.91	36329	4.28
26/07/2018	21.96	35952	4.19
27/07/2018	22.13	36021	4.06
28/07/2018	22.28	37194	4.02
29/07/2018	22.15	35773	3.86
30/07/2018	22.16	37149	3.78
31/07/2018	22.19	36989	3.8
01/08/2018	21.71	104296	3.86
02/08/2018	21.86	36982	4.31
03/08/2018	22.1	37698	4.14
04/08/2018	22.1	39379	4.03
05/08/2018	21.5	37503	3.96
06/08/2018	21.39	38668	3.92
07/08/2018	21.68	39515	3.83
08/08/2018	21.85	40187	3.8
09/08/2018	21.96	147892	3.19
10/08/2018	20.64	125818	3.62
11/08/2018	20.33	95602	3.6
12/08/2018	19.64	214654	3.4
13/08/2018	18.28	173573	2.96
14/08/2018	18.88	124893	3.24
15/08/2018	19.61	65288	3.87
16/08/2018	20.32	48266	3.67
17/08/2018	20.54	61115	3.68
18/08/2018	20.52	41454	3.76
19/08/2018	20.52	42748	3.68
20/08/2018	20.55	43777	3.66
21/08/2018	20.5	43123	3.62
22/08/2018	20.7	42726	3.62
23/08/2018	21	41686	3.53
24/08/2018	20.15	119930	3.19
25/08/2018	19.19	116212	3.29
26/08/2018	18.48	46908	3.63
27/08/2018	18.31	195363	2.91
28/08/2018	18.02	60770	3.57
29/08/2018	18.69	56524	3.29
30/08/2018	18.87	214396	2.3
31/08/2018	18.77	67731	3.48
01/09/2018	19.11	45406	3.53
02/09/2018	19.59	45654	3.51
03/09/2018	19.95	45730	3.55
04/09/2018	20.18	44753	3.48
05/09/2018	20.38	45837	3.39
06/09/2018	20.43	45390	3.3
07/09/2018	20.19	50894	3.18
08/09/2018	19.75	42592	3.28
09/09/2018	19.75	43698	3.19
10/09/2018	19.81	43255	3.14
11/09/2018	19.49	71333	2.89
12/09/2018	19.04	49945	3.36
13/09/2018	19.04	42853	3.27
14/09/2018	19.14	43286	3.19
15/09/2018	19.07	48584	3.05
16/09/2018	19.01	43032	3.19
17/09/2018	19.2	42497	3.11
18/09/2018	19.56	39954	3.11
19/09/2018	19.79	41355	3.07
20/09/2018	19.87	40291	3.08
21/09/2018	19.53	58463	3.05
22/09/2018	18.62	58341	3.2
23/09/2018	18.06	44201	3.61
24/09/2018	16.94	124618	3.18
25/09/2018	16.05	46588	3.55
26/09/2018	16.47	44277	3.57
27/09/2018	17.34	46767	3.45
28/09/2018	17.55	44265	3.42
29/09/2018	17.56	44148	3.55
30/09/2018	17.71	46008	3.54
01/10/2018	17.87	44981	3.4
02/10/2018	17.46	65124	3.33
03/10/2018	17.01	65004	3.34
04/10/2018	17.01	48810	3.48
05/10/2018	17.57	48807	3.4
06/10/2018	17.92	97219	3.2
07/10/2018	16.09	100802	3.19
08/10/2018	15.78	45912	3.3
09/10/2018	16.58	44761	3.27
10/10/2018	17.31	44276	3.27
11/10/2018	17.7	44118	3.18
12/10/2018	17.95	41610	3.12
13/10/2018	18.19	39835	3.12
14/10/2018	18.09	38950	3.07
15/10/2018	18.05	41756	2.97
16/10/2018	18.18	53080	2.98
17/10/2018	18.35	43912	3.15
18/10/2018	18.24	42768	3.19
19/10/2018	17.89	41718	3.13
20/10/2018	17.64	42882	3.09
21/10/2018	17.57	44388	3.11
22/10/2018	17.33	90555	3.12
23/10/2018	14.74	164494	2.69
24/10/2018	14.2	83039	2.95
25/10/2018	14.92	52688	3.14
26/10/2018	15.14	85380	3.15
27/10/2018	14.85	58924	3.14
28/10/2018	14.71	61366	3.45
29/10/2018	14.45	67504	3.07
30/10/2018	14.51	90082	2.76
31/10/2018	14.62	55350	3.05
01/11/2018	14.9	46526	3.07
02/11/2018	15.25	43265	3.16
03/11/2018	15.45	42923	3.14
04/11/2018	15.64	42699	3.16
05/11/2018	15.95	44305	3.16
06/11/2018	16.07	43457	3.19
07/11/2018	16.18	42441	3.26
08/11/2018	16.32	42521	3.28
09/11/2018	16.3	41075	3.32
10/11/2018	16.1	43376	3.29
11/11/2018	15.25	133920	3.11
12/11/2018	14.68	153816	2.66
13/11/2018	14.23	60635	3.11
14/11/2018	14.78	46074	3.18
15/11/2018	15.34	42260	3.26
16/11/2018	15.19	43004	3.27
17/11/2018	15.23	43183	3.43
18/11/2018	15.21	43696	3.39
19/11/2018	14.87	42709	3.23
20/11/2018	14.57	45726	3.12
21/11/2018	14.42	42235	3.21
22/11/2018	14.47	41885	3.22
23/11/2018	14.47	40471	3.2
24/11/2018	14.59	41339	3.14
25/11/2018	14.45	42174	3.17
26/11/2018	14.22	42386	3.29
27/11/2018	14.06	42143	3.34
28/11/2018	13.54	42652	3.32
29/11/2018	12.3	178442	2.7
30/11/2018	10.78	48035	3.4
01/12/2018	11.53	44640	3.32
02/12/2018	12.23	182982	2.93
03/12/2018	11.97	71984	3.25
04/12/2018	12.11	48602	3.25
05/12/2018	12.6	45292	3.59
06/12/2018	13.19	114763	3.38
07/12/2018	13.1	140325	3.24
08/12/2018	12	131360	3.26
09/12/2018	11.97	58376	3.24
10/12/2018	12.43	59299	3.42
11/12/2018	12.89	47331	3.59
12/12/2018	13.04	47073	3.58
13/12/2018	13.12	46166	3.87
14/12/2018	13.14	46238	4
15/12/2018	13.31	59231	3.96
16/12/2018	12.98	46288	3.8
17/12/2018	13.16	44343	3.86
18/12/2018	13.74	49360	4.04
19/12/2018	13.2	86512	3.79
20/12/2018	12.6	63460	4.27
21/12/2018	12.48	229622	3.68
22/12/2018	9.69	129199	3.79
23/12/2018	10.24	118963	4.17
24/12/2018	10.36	66001	4.91
25/12/2018	11.32	64320	4.77
26/12/2018	11.65	48035	5.01
27/12/2018	12.35	49990	4.86
28/12/2018	12.74	53134	4.73
29/12/2018	12.75	148216	4.07
30/12/2018	11.56	55924	4.75
31/12/2018	12.11	65011	4.64
01/01/2019	12.18	65048	4.64
02/01/2019	11.03	67364	5.42
03/01/2019	11.35	48536	5.11
04/01/2019	11.98	48666	5.31
05/01/2019	12.39	47447	5.38
06/01/2019	12.67	48233	5.33
07/01/2019	13.06	81230	4.27
08/01/2019	12.15	117340	3.49
09/01/2019	11.31	53933	4.05
10/01/2019	11.59	50891	4.24
11/01/2019	12.18	51098	4.48
12/01/2019	12.53	72574	4.78
13/01/2019	12.2	107014	4.33
14/01/2019	11.35	60261	4.59
15/01/2019	11.38	123417	4.2
16/01/2019	10.62	125387	4.25
17/01/2019	10.49	125872	4.05
18/01/2019	10.01	62147	5.19
19/01/2019	10.74	59460	5.17
20/01/2019	11.34	57952	5.04
21/01/2019	11.42	105166	4.72
22/01/2019	11	72440	4.3
23/01/2019	11.22	71848	4.59
24/01/2019	11.59	72598	4.53
25/01/2019	11.88	54219	5.35
26/01/2019	11.77	69904	5.25
27/01/2019	9.67	316279	3.33
28/01/2019	8.73	107177	4.99
29/01/2019	9.76	73622	6.33
30/01/2019	10.47	66901	4.91
31/01/2019	10.77	62720	4.53
01/02/2019	11.12	60465	4.89
02/02/2019	11.36	64838	5.08
03/02/2019	11.46	57055	5.24
04/02/2019	11.52	64406	5.04
05/02/2019	11.62	54005	4.92
06/02/2019	11.28	120624	4.17
07/02/2019	10.39	123336	4.37
08/02/2019	10.38	104055	4.75
09/02/2019	9.91	149581	4.66
10/02/2019	10.08	159384	4.25
11/02/2019	9.75	81990	5.31
12/02/2019	10.28	75168	5.37
13/02/2019	11.01	68056	5.67
14/02/2019	11.59	63925	5.79
15/02/2019	11.88	60397	5
16/02/2019	12.04	62472	4.72
17/02/2019	12.29	59906	4.61
18/02/2019	12.4	60395	4.53
19/02/2019	12.3	69118	4.24
20/02/2019	12.26	105743	4.14
21/02/2019	11.09	133522	3.72
22/02/2019	10.87	61092	4.78
23/02/2019	11.29	58685	5.06
24/02/2019	11.89	58846	5.06
25/02/2019	12.34	58252	5
26/02/2019	12.62	59111	5.11
27/02/2019	12.71	59366	5.2
28/02/2019	12.71	57879	5.19
01/03/2019	12.7	56065	5.02
