Date	Temperature_C	inflow_m3d	SS_kgm3
27/10/2018	14.85	58924	3.83
28/10/2018	14.71	61366	3.71
29/10/2018	14.45	67504	3.78
30/10/2018	14.51	90082	3.28
31/10/2018	14.62	55350	3.74
01/11/2018	14.9	46526	3.61
02/11/2018	15.25	43265	3.5
03/11/2018	15.45	42923	3.43
04/11/2018	15.64	42699	3.37
05/11/2018	15.95	44305	3.32
06/11/2018	16.07	43457	3.24
07/11/2018	16.18	42441	3.18
08/11/2018	16.32	42521	3.11
09/11/2018	16.3	41075	3.08
10/11/2018	16.1	43376	3.04
11/11/2018	15.25	133920	2.48
12/11/2018	14.68	153816	2.4
13/11/2018	14.23	60635	2.85
14/11/2018	14.78	46074	3.23
15/11/2018	15.34	42260	3.3
16/11/2018	15.19	43004	3.24
17/11/2018	15.23	43183	3.17
18/11/2018	15.21	43696	3.08
19/11/2018	14.87	42709	3.06
20/11/2018	14.57	45726	3.03
21/11/2018	14.42	42235	3.04
22/11/2018	14.47	41885	3.03
23/11/2018	14.47	40471	2.9
24/11/2018	14.59	41339	2.76
25/11/2018	14.45	42174	2.73
26/11/2018	14.22	42386	2.79
27/11/2018	14.06	42143	2.78
28/11/2018	13.54	42652	2.8
29/11/2018	12.3	178442	1.96
30/11/2018	10.78	48035	2.79
01/12/2018	11.53	44640	2.99
02/12/2018	12.23	182982	2.31
03/12/2018	11.97	71984	2.88
04/12/2018	12.11	48602	3.12
05/12/2018	12.6	45292	3.14
06/12/2018	13.19	114763	2.63
07/12/2018	13.1	140325	2.46
08/12/2018	12	131360	2.23
09/12/2018	11.97	58376	3.27
10/12/2018	12.43	59299	3.31
11/12/2018	12.89	47331	3.28
12/12/2018	13.04	47073	3.15
13/12/2018	13.12	46166	3.08
14/12/2018	13.14	46238	3.14
15/12/2018	13.31	59231	3.16
16/12/2018	12.98	46288	3.31
17/12/2018	13.16	44343	3.98
18/12/2018	13.74	49360	4.42
19/12/2018	13.2	86512	3.3
20/12/2018	12.6	63460	4.21
21/12/2018	12.48	229622	2.69
22/12/2018	9.69	129199	2.97
23/12/2018	10.24	118963	3.44
24/12/2018	10.36	66001	4.54
25/12/2018	11.32	64320	4.37
26/12/2018	11.65	48035	4.68
27/12/2018	12.35	49990	4.65
28/12/2018	12.74	53134	4.52
29/12/2018	12.75	148216	3.47
30/12/2018	11.56	55924	4.16
31/12/2018	12.11	65011	4.23
01/01/2019	12.18	65048	3.88
02/01/2019	11.03	67364	4.29
03/01/2019	11.35	48536	3.94
04/01/2019	11.98	48666	3.87
05/01/2019	12.39	47447	3.78
06/01/2019	12.67	48233	3.67
07/01/2019	13.06	81230	3.42
08/01/2019	12.15	117340	3.18
09/01/2019	11.31	53933	4.05
10/01/2019	11.59	50891	4.2
11/01/2019	12.18	51098	4.32
12/01/2019	12.53	72574	4.43
13/01/2019	12.2	107014	4.36
14/01/2019	11.35	60261	4.96
15/01/2019	11.38	123417	4.62
16/01/2019	10.62	125387	4.75
17/01/2019	10.49	125872	5
18/01/2019	10.01	62147	5.79
19/01/2019	10.74	59460	5.73
20/01/2019	11.34	57952	5.66
21/01/2019	11.42	105166	5.1
22/01/2019	11	72440	5.6
23/01/2019	11.22	71848	5.6
24/01/2019	11.59	72598	5.68
25/01/2019	11.88	54219	5.76
26/01/2019	11.77	69904	5.47
27/01/2019	9.67	316279	4.39
28/01/2019	8.73	107177	4.84
29/01/2019	9.76	73622	5.39
30/01/2019	10.47	66901	5.24
31/01/2019	10.77	62720	4.9
01/02/2019	11.12	60465	4.66
02/02/2019	11.36	64838	4.63
03/02/2019	11.46	57055	4.57
04/02/2019	11.52	64406	4.27
