Date	Temperature_C	inflow_m3d	SS_kgm3
01/02/2018	9.89	92077	3.48
02/02/2018	10.37	125431	3.45
03/02/2018	10.22	79208	3.36
04/02/2018	10.58	75860	3.32
05/02/2018	10.78	71906	3.28
06/02/2018	10.85	70760	3.23
07/02/2018	10.71	67867	3.29
08/02/2018	10.86	67417	3.29
09/02/2018	10.84	64589	3.36
10/02/2018	10.92	62808	3.53
11/02/2018	10.94	83347	3.3
12/02/2018	10.63	62601	3.52
13/02/2018	10.81	59129	3.92
14/02/2018	10.99	58221	3.88
15/02/2018	10.83	64104	3.5
16/02/2018	11.07	67712	3.49
17/02/2018	11.26	57463	3.57
18/02/2018	11.43	57762	3.48
19/02/2018	11.59	57984	3.19
20/02/2018	11.67	57554	2.92
21/02/2018	11.79	56651	3.35
22/02/2018	11.66	54646	3.13
23/02/2018	11.41	54865	3.16
24/02/2018	11.12	55129	3.17
25/02/2018	10.81	55394	3.22
26/02/2018	10.52	54642	3.3
27/02/2018	10.09	54665	3.27
28/02/2018	9.59	52979	3.23
01/03/2018	9.64	53360	3.23
02/03/2018	9.99	57152	3.1
03/03/2018	10.3	57304	3.01
04/03/2018	10.42	55983	3.33
05/03/2018	10.47	62942	3.04
06/03/2018	10.54	91797	3.38
07/03/2018	10.18	88168	3.58
08/03/2018	9.99	174920	2.48
09/03/2018	7.66	165501	2.5
10/03/2018	8.21	93115	3.61
11/03/2018	8.91	115549	2.78
12/03/2018	9.21	329764	2.63
13/03/2018	7.79	280454	1.87
14/03/2018	8.37	141322	2.71
15/03/2018	8.73	105397	3.1
16/03/2018	8.77	95839	3.32
17/03/2018	8.84	90077	3.29
18/03/2018	9.33	84327	3.28
19/03/2018	9.87	79768	3.29
20/03/2018	10.1	89317	3.16
21/03/2018	10.16	83932	3.46
22/03/2018	9.53	146497	2.98
23/03/2018	9.27	77572	3.28
24/03/2018	9.82	75456	3.35
25/03/2018	10.44	70776	3.31
26/03/2018	10.72	95563	3.1
27/03/2018	9.87	81410	2.88
28/03/2018	9.53	84637	2.95
29/03/2018	9.37	95241	2.85
30/03/2018	9.63	69923	3.17
31/03/2018	9.76	65783	3.22
01/04/2018	9.84	66720	3.18
02/04/2018	10.31	66552	3.19
03/04/2018	10.07	127807	2.7
04/04/2018	10.19	89946	2.74
05/04/2018	10.6	72550	3
06/04/2018	10.85	64592	3.26
07/04/2018	11.19	65260	3.26
08/04/2018	11.77	65565	3.24
09/04/2018	12.24	63702	3.2
10/04/2018	12.24	61606	3.31
11/04/2018	12.07	61533	3.28
12/04/2018	12.1	60830	3.17
