Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
Gallionella,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Kouleothrix,Eikelboom type 1851,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,na,na,na,na,na,na,pos,pos,neg,na,neg,na,neg,var,neg,na,neg,pos,na,na,na,na,var,pos,pos,pos,neg,neg,pos,pos,neg,neg
Gemmatimonas,"",Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Flavobacterium,"",Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,pos,na,pos,na,pos,na,var,pos,var
Desulfobulbus,"",Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ca_Soleaferrea,"",Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arcobacter,"*Campylobacter nitrofigilis* , *C. cryaerophila*",Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,pos,na,pos,na,pos,neg,var,na,neg
Azospira,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,neg,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na
Ca_Alysiosphaera,*Candidatus* Halyseosphaera,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,pos,na,pos,na
Anaerovorax,"",Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na
Pseudorhodobacter,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,pos,na,neg,na,neg,na,na
Lewinella,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na
Microbacterium,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Leptospira,"",Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ca_Obscuribacter,"",Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,na,na,na,na,na,na,na,pos,na,pos,na,na,na,neg,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na
Amphiplicatus,"",Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Halomonas,"Halomonas-related PAO, *Ca* Accumulimonas",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,na,na,na,na,na,na,pos,na,pos,na,neg,na,neg,na,neg,na,neg,na,na,na,na,na,pos,na,neg,na,neg,na,neg,na,na,na
OLB12,"",Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Chitinivorax,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinimonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
SH-PL14,"",Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
