Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190702-155,MQ190702,LIB-Aalborg-W-LT-625,74879,"",pre-S::Select,"",Aalborg W,2018-10-23,43,2018,Fall,"","","","","","",,,,,,,,,14.5
MQ190702-156,MQ190702,LIB-Aalborg-W-LT-627,71059,"",pre-S::Select,"",Aalborg W,2018-10-26,43,2018,Fall,"","","","","","",,,,,,,,,14.5
MQ190702-157,MQ190702,LIB-Aalborg-W-LT-629,77330,"",pre-S::Select,"",Aalborg W,2018-10-30,44,2018,Fall,"","","","","","",,,,,,,,,13.9
MQ190702-158,MQ190702,LIB-Aalborg-W-LT-631,60651,"",pre-S::Select,"",Aalborg W,2018-11-02,44,2018,Fall,"","","","","","",,,,,,,,,13.9
MQ190702-159,MQ190702,LIB-Aalborg-W-LT-633,68532,"",pre-S::Select,"",Aalborg W,2018-11-05,45,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-160,MQ190702,LIB-Aalborg-W-LT-635,37516,"",pre-S::Select,"",Aalborg W,2018-11-09,45,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-161,MQ190702,LIB-Aalborg-W-LT-637,38092,"",pre-S::Select,"",Aalborg W,2018-11-13,46,2018,Fall,"","","","","","",,,,,,,,,14
MQ190702-162,MQ190702,LIB-Aalborg-W-LT-639,25881,"",pre-S::Select,"",Aalborg W,2018-11-16,46,2018,Fall,"","","","","","",,,,,,,,,14
MQ190702-163,MQ190702,LIB-Aalborg-W-LT-641,25327,"",pre-S::Select,"",Aalborg W,2018-11-20,47,2018,Fall,"","","","","","",,,,,,,,,13.3
MQ190702-164,MQ190702,LIB-Aalborg-W-LT-643,38266,"",pre-S::Select,"",Aalborg W,2018-11-23,47,2018,Fall,"","","","","","",,,,,,,,,13.3
MQ190702-165,MQ190702,LIB-Aalborg-W-LT-645,40982,"",pre-S::Select,"",Aalborg W,2018-11-27,48,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-166,MQ190702,LIB-Aalborg-W-LT-647,32177,"",pre-S::Select,"",Aalborg W,2018-11-30,48,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-167,MQ190702,LIB-Aalborg-W-LT-649,34946,"",pre-S::Select,"",Aalborg W,2018-12-03,49,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-168,MQ190702,LIB-Aalborg-W-LT-651,60108,"",pre-S::Select,"",Aalborg W,2018-12-06,49,2018,Fall,"","","","","","",,,,,,,,,
MQ190702-169,MQ190702,LIB-Aalborg-W-LT-653,60650,"",pre-S::Select,"",Aalborg W,2018-12-11,50,2018,Fall,"","","","","","",,,,,,,,,
