Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181116-191,MQ181116,LIB-Fredericia-LT-245,,Fredericia-LT-245,Summer,LT,AS,"",Fredericia,2017-08-01,31,2017,,"","","","","","",,,,,,,14.49395734,15.12495381,,,"",,
MQ181116-192,MQ181116,LIB-Fredericia-LT-253,,Fredericia-LT-253,Summer,LT,AS,"",Fredericia,2017-08-22,34,2017,,"","","","","","",,,,,,,12.15272762,8.142784553,,,"",,
MQ181116-193,MQ181116,LIB-Fredericia-LT-257,,Fredericia-LT-257,Summer,LT,AS,"",Fredericia,2017-08-29,35,2017,,"","","","","","",,,,,,,18.95372912,3.91,,,"",,
MQ181116-194,MQ181116,LIB-Fredericia-LT-261,,Fredericia-LT-261,Fall,LT,AS,"",Fredericia,2017-09-20,38,2017,,"","","","","","",,,,,,,24.43304926,6.964846637,,,"",,
MQ181116-195,MQ181116,LIB-Fredericia-LT-265,,Fredericia-LT-265,Fall,LT,AS,"",Fredericia,2017-10-17,42,2017,,"","","","","","",,,,,,,26.60214743,9.985910939,,,"",,
MQ181116-196,MQ181116,LIB-Fredericia-LT-269,,Fredericia-LT-269,Fall,LT,AS,"",Fredericia,2017-10-25,43,2017,,"","","","","","",,,,,,,21.80894603,9.915465632,,,"",,
MQ181116-197,MQ181116,LIB-Fredericia-LT-273,,Fredericia-LT-273,Fall,LT,AS,"",Fredericia,2017-10-30,44,2017,,"","","","","","",,,,,,,28.31142568,10.56333149,,,"",,
MQ181116-198,MQ181116,LIB-Fredericia-LT-277,,Fredericia-LT-277,Fall,LT,AS,"",Fredericia,2017-11-14,46,2017,,"","","","","","",,,,,,,28.40651933,6.873614191,,,"",,
MQ181116-199,MQ181116,LIB-Fredericia-LT-281,,Fredericia-LT-281,Fall,LT,AS,"",Fredericia,2017-12-05,49,2017,,"","","","","","",,,,,,,25.30694785,8.749076127,,,"",,
MQ181116-200,MQ181116,LIB-Fredericia-LT-285,,Fredericia-LT-285,Winter,LT,AS,"",Fredericia,2017-12-18,51,2017,,"","","","","","",,,,,,,41.05036352,4.502725425,,,"",,
MQ181116-201,MQ181116,LIB-Fredericia-LT-289,,Fredericia-LT-289,Winter,LT,AS,"",Fredericia,2018-01-15,3,2018,,"","","","","","",,,,,,,36.46781261,2.740437916,,,"",,
MQ181116-202,MQ181116,LIB-Fredericia-LT-293,,Fredericia-LT-293,Winter,LT,AS,"",Fredericia,2018-01-19,3,2018,,"","","","","","",,,,,,,31.24849535,6.741962306,,,"",,
MQ181116-203,MQ181116,LIB-Fredericia-LT-297,,Fredericia-LT-297,Winter,LT,AS,"",Fredericia,2018-01-23,4,2018,,"","","","","","",,,,,,,34.14463864,5.643708426,,,"",,
