ASV,Viborg 2019-47 AS,Viborg 2019-49 AS,Viborg 2019-52 AS,Viborg 2019-53 AS,Viborg 2020-2 AS,Viborg 2020-3 AS,Viborg 2020-4 AS,Viborg 2020-6 AS
newASV2528,0,0,0,0,1,0,0,0
newASV3036,0,0,0,0,0,0,0,0
newASV4717,0,0,0,0,0,0,0,0
newASV4831,0,0,0,0,0,0,0,0
newASV4849,0,0,0,0,0,0,0,0
newASV6412,0,0,0,0,0,0,0,0
newASV7200,0,0,0,0,0,0,0,0
newASV7554,0,0,0,0,0,0,0,0
newASV12469,0,0,0,0,0,0,0,0
newASV14213,0,0,0,0,0,0,0,0
newASV29610,4,3,10,5,22,4,6,6
newASV30456,0,0,0,0,0,0,0,0
newASV35003,0,0,0,1,2,1,0,1
newASV38463,2,4,8,4,29,4,10,0
newASV42051,0,0,0,0,0,0,0,0
newASV44692,1,0,0,0,1,0,0,0
newASV47101,4,7,11,17,61,20,12,10
