Genus,MiDAS,Filamentous,Hydrophobic cell surface,Chemoautotroph_mixotroph,AOB,NOB,Anammox,Aerobic heterotroph,PAO,GAO,Nitrite reduction,Sulfate reduction,Fermentation,Acetogen,Methanogen,Short-chain fatty acids,Sugars,Proteins_amino acids
Methylorosula,POS,NEG,NT,NEG,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,NEG,POS,POS
Ca_Accumulibacter,POS,NEG,NT,NT,NEG,NEG,NEG,POS,POS,POS,POS,VAR,NEG,NT,NEG,POS,NEG,VAR
JGI 0001001-H03,POS,NT,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,NT,NT,NT,NT,NT
Haliangium,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,POS,NT,NT,NT,NT,NEG,NT,POS
Ca_Promineofilum,POS,POS,NEG,POS,NEG,NEG,NEG,POS,NEG,NEG,POS,NEG,POS,NEG,NEG,NEG,POS,NEG
midas_g_179,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Nitrotoga,POS,NEG,NT,POS,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_184,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Rhodoplanes,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,POS,NEG,NEG
Ca_Methylophosphatis,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Hydrogenophaga,POS,NT,NT,POS,NT,NT,NT,POS,NT,NT,VAR,NT,NT,NT,NT,POS,POS,POS
Brooklawnia,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,POS,NT
Syntrophus,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NEG,NEG,POS,NT,NT,NEG,NEG,NEG
Acidibacter,POS,NT,NT,NEG,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NEG,POS,NT
Geothrix,POS,NT,NT,NEG,NT,NT,NT,NEG,NT,NT,NT,NEG,POS,NT,NT,POS,NEG,NT
midas_g_81,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Thermomonas,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,VAR,NT,NEG,NT,NT,POS,VAR,POS
