Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ221130-161,MQ221130,LIB-OdenseNV-LT-766,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-01-05,1,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-162,MQ221130,LIB-OdenseNV-LT-769,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-01-12,2,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-163,MQ221130,LIB-OdenseNV-LT-772,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-01-19,3,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-164,MQ221130,LIB-OdenseNV-LT-775,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-01-28,4,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-165,MQ221130,LIB-OdenseNV-LT-777,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-02-02,5,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-166,MQ221130,LIB-OdenseNV-LT-779,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-02-12,6,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-167,MQ221130,LIB-OdenseNV-LT-781,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-02-16,7,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-168,MQ221130,LIB-OdenseNV-LT-784,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-02-22,8,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-169,MQ221130,LIB-OdenseNV-LT-786,,"",Winter,LT,AS,Activated sludge,Odense NV,2021-03-02,9,2021,,"","","","","","",,,,,,,,,,,"",,
MQ221130-170,MQ221130,LIB-OdenseNV-LT-788,,"",Spring,LT,AS,Activated sludge,Odense NV,2021-03-16,11,2021,,"","","","","","",,,,,,,,,,,"",,
