Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ190919-77,MQ190919,LIB-Damhusaen-LT-B-142,,"",Winter,B,AS,mean,Damhusåen-B,2018-12-18,51,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-78,MQ190919,LIB-Damhusaen-LT-B-143,,"",Winter,B,AS,mean,Damhusåen-B,2018-12-20,51,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-79,MQ190919,LIB-Damhusaen-LT-B-144,,"",Winter,B,AS,mean,Damhusåen-B,2019-01-04,1,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-80,MQ190919,LIB-Damhusaen-LT-B-145,,"",Winter,B,AS,mean,Damhusåen-B,2019-01-07,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-81,MQ190919,LIB-Damhusaen-LT-B-146,,"",Winter,B,AS,mean,Damhusåen-B,2019-01-10,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-82,MQ190919,LIB-Damhusaen-LT-B-147,,"",Winter,B,AS,mean,Damhusåen-B,2019-01-14,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-83,MQ190919,LIB-Damhusaen-LT-B-148,,"",Winter,B,AS,mean,Damhusåen-B,2019-01-17,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-84,MQ190919,LIB-Damhusaen-LT-B-149,,"",Winter,B,AS,mean,Damhusåen-B,2019-01-24,4,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-85,MQ190919,LIB-Damhusaen-LT-B-150,,"",Winter,B,AS,mean,Damhusåen-B,2019-01-31,5,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-86,MQ190919,LIB-Damhusaen-LT-B-151,,"",Winter,B,AS,mean,Damhusåen-B,2019-02-07,6,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-87,MQ190919,LIB-Damhusaen-LT-B-152,,"",Winter,B,AS,mean,Damhusåen-B,2019-02-14,7,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-88,MQ190919,LIB-Damhusaen-LT-B-153,,"",Winter,B,AS,mean,Damhusåen-B,2019-02-28,9,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-89,MQ190919,LIB-Damhusaen-LT-B-154,,"",Winter,B,AS,mean,Damhusåen-B,2019-03-08,10,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-91,MQ190919,LIB-Damhusaen-LT-B-156,,"",Spring,B,AS,mean,Damhusåen-B,2019-03-21,12,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-92,MQ190919,LIB-Damhusaen-LT-B-157,,"",Spring,B,AS,mean,Damhusåen-B,2019-03-26,13,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-93,MQ190919,LIB-Damhusaen-LT-B-158,,"",Spring,B,AS,mean,Damhusåen-B,2019-03-29,13,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-94,MQ190919,LIB-Damhusaen-LT-B-159,,"",Spring,B,AS,mean,Damhusåen-B,2019-04-05,14,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-95,MQ190919,LIB-Damhusaen-LT-B-160,,"",Spring,B,AS,mean,Damhusåen-B,2019-04-09,15,2019,,"","","","","","",,,,,,,,,,,"",,
MQ181023-166,MQ181023,LIB-BB-Dam-B-20180312,,Dam-B-20180312,Winter,B,AS,mean,Damhusåen-B,2018-03-12,11,2018,,"","","","","","",,,,,,,15.03422921,17.96678995,,,"",,
MQ181023-167,MQ181023,LIB-BB-Dam-B-20180316,,Dam-B-20180316,Spring,B,AS,mean,Damhusåen-B,2018-03-16,11,2018,,"","","","","","",,,,,,,14.52712982,11.97785997,,,"",,
MQ181023-168,MQ181023,LIB-BB-Dam-B-20180320,,Dam-B-20180320,Spring,B,AS,mean,Damhusåen-B,2018-03-20,12,2018,,"","","","","","",,,,,,,15.06465517,11.63644828,,,"",,
MQ181023-169,MQ181023,LIB-BB-Dam-B-20180323,,Dam-B-20180323,Spring,B,AS,mean,Damhusåen-B,2018-03-23,12,2018,,"","","","","","",,,,,,,17.71678499,13.55818224,,,"",,
MQ181023-170,MQ181023,LIB-BB-Dam-B-20180328,,Dam-B-20180328,Spring,B,AS,mean,Damhusåen-B,2018-03-28,13,2018,,"","","","","","",,,,,,,18.9198783,16.58045159,,,"",,
MQ181023-171,MQ181023,LIB-BB-Dam-B-20180403,,Dam-B-20180403,Spring,B,AS,mean,Damhusåen-B,2018-04-03,14,2018,,"","","","","","",,,,,,,13.27586207,14.8798593,,,"",,
MQ181023-172,MQ181023,LIB-BB-Dam-B-20180406,,Dam-B-20180406,Spring,B,AS,mean,Damhusåen-B,2018-04-06,14,2018,,"","","","","","",,,,,,,13.0387931,18.13490934,,,"",,
MQ181023-173,MQ181023,LIB-BB-Dam-B-20180413,,Dam-B-20180413,Spring,B,AS,mean,Damhusåen-B,2018-04-13,15,2018,,"","","","","","",,,,,,,15.77205882,22.64180224,,,"",,
MQ181023-174,MQ181023,LIB-BB-Dam-B-20180416,,Dam-B-20180416,Spring,B,AS,mean,Damhusåen-B,2018-04-16,16,2018,,"","","","","","",,,,,,,11.456643,20.18855236,,,"",,
MQ181023-175,MQ181023,LIB-BB-Dam-B-20180424,,Dam-B-20180424,Spring,B,AS,mean,Damhusåen-B,2018-04-24,17,2018,,"","","","","","",,,,,,,39.6653144,13.06804956,,,"",,
MQ181023-176,MQ181023,LIB-BB-Dam-B-20180430,,Dam-B-20180430,Spring,B,AS,mean,Damhusåen-B,2018-04-30,18,2018,,"","","","","","",,,,,,,12.34279919,12.11364871,,,"",,
MQ181023-177,MQ181023,LIB-BB-Dam-B-20180509,,Dam-B-20180509,Spring,B,AS,mean,Damhusåen-B,2018-05-09,19,2018,,"","","","","","",,,,,,,14.09229209,14.6716499,,,"",,
MQ181023-178,MQ181023,LIB-BB-Dam-B-20180516,,Dam-B-20180516,Spring,B,AS,mean,Damhusåen-B,2018-05-16,20,2018,,"","","","","","",,,,,,,12.5393002,12.9115692,,,"",,
MQ181023-179,MQ181023,LIB-BB-Dam-B-20180522,,Dam-B-20180522,Spring,B,AS,mean,Damhusåen-B,2018-05-22,21,2018,,"","","","","","",,,,,,,14.10496957,10.92905362,,,"",,
MQ181023-180,MQ181023,LIB-BB-Dam-B-20180529,,Dam-B-20180529,Spring,B,AS,mean,Damhusåen-B,2018-05-29,22,2018,,"","","","","","",,,,,,,27.93483773,11.75025218,,,"",,
MQ181023-181,MQ181023,LIB-BB-Dam-B-20180604,,Dam-B-20180604,Spring,B,AS,mean,Damhusåen-B,2018-06-04,23,2018,,"","","","","","",,,,,,,17.68002028,15.1773013,,,"",,
MQ181023-182,MQ181023,LIB-BB-Dam-B-20180611,,Dam-B-20180611,Spring,B,AS,mean,Damhusåen-B,2018-06-11,24,2018,,"","","","","","",,,,,,,21.02687627,20.66187311,,,"",,
MQ181023-183,MQ181023,LIB-BB-Dam-B-20180620,,Dam-B-20180620,Summer,B,AS,mean,Damhusåen-B,2018-06-20,25,2018,,"","","","","","",,,,,,,26.11308316,10.17380959,,,"",,
MQ181023-184,MQ181023,LIB-BB-Dam-B-20180627,,Dam-B-20180627,Summer,B,AS,mean,Damhusåen-B,2018-06-27,26,2018,,"","","","","","",,,,,,,25.20283976,8.684013139,,,"",,
MQ181023-185,MQ181023,LIB-BB-Dam-B-20180702,,Dam-B-20180702,Summer,B,AS,mean,Damhusåen-B,2018-07-02,27,2018,,"","","","","","",,,,,,,14.63742394,13.179267,,,"",,
MQ181023-186,MQ181023,LIB-BB-Dam-B-20180716,,Dam-B-20180716,Summer,B,AS,mean,Damhusåen-B,2018-07-16,29,2018,,"","","","","","",,,,,,,17.85623732,11.7411996,,,"",,
MQ181023-187,MQ181023,LIB-BB-Dam-B-20180731,,Dam-B-20180731,Summer,B,AS,mean,Damhusåen-B,2018-07-31,31,2018,,"","","","","","",,,,,,,11.54158215,11.03121848,,,"",,
MQ181023-188,MQ181023,LIB-BB-Dam-B-20180806,,Dam-B-20180806,Summer,B,AS,mean,Damhusåen-B,2018-08-06,32,2018,,"","","","","","",,,,,,,12.92849899,13.01890697,,,"",,
MQ181023-189,MQ181023,LIB-BB-Dam-B-20180817,,Dam-B-20180817,Summer,B,AS,mean,Damhusåen-B,2018-08-17,33,2018,,"","","","","","",,,,,,,17.34406694,13.01373406,,,"",,
MQ181023-190,MQ181023,LIB-BB-Dam-B-20180820,,Dam-B-20180820,Summer,B,AS,mean,Damhusåen-B,2018-08-20,34,2018,,"","","","","","",,,,,,,13.26698783,13.29436412,,,"",,
MQ181023-191,MQ181023,LIB-BB-Dam-B-20180823,,Dam-B-20180823,Summer,B,AS,mean,Damhusåen-B,2018-08-23,34,2018,,"","","","","","",,,,,,,17.56719067,5.932028037,,,"",,
MQ181023-192,MQ181023,LIB-BB-Dam-B-20180828,,Dam-B-20180828,Summer,B,AS,mean,Damhusåen-B,2018-08-28,35,2018,,"","","","","","",,,,,,,22.84482759,8.998267077,,,"",,
MQ181023-193,MQ181023,LIB-BB-Dam-B-20180830,,Dam-B-20180830,Summer,B,AS,mean,Damhusåen-B,2018-08-30,35,2018,,"","","","","","",,,,,,,16.02180527,13.5711145,,,"",,
MQ181023-194,MQ181023,LIB-BB-Dam-B-20180903,,Dam-B-20180903,Summer,B,AS,mean,Damhusåen-B,2018-09-03,36,2018,,"","","","","","",,,,,,,16.58848884,14.68070248,,,"",,
MQ181023-195,MQ181023,LIB-BB-Dam-B-20180907,,Dam-B-20180907,Summer,B,AS,mean,Damhusåen-B,2018-09-07,36,2018,,"","","","","","",,,,,,,21.85344828,12.17572356,,,"",,
MQ181023-196,MQ181023,LIB-BB-Dam-B-20180910,,Dam-B-20180910,Summer,B,AS,mean,Damhusåen-B,2018-09-10,37,2018,,"","","","","","",,,,,,,13.125,8.786178,,,"",,
MQ181023-197,MQ181023,LIB-BB-Dam-B-20180913,,Dam-B-20180913,Summer,B,AS,mean,Damhusåen-B,2018-09-13,37,2018,,"","","","","","",,,,,,,24.38514199,11.03380493,,,"",,
MQ201009-209,MQ201009,LIB-Damhusaen-LT-B-102,36567,"",Spring,B,AS,mean,Damhusåen-B,2020-05-05,19,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-210,MQ201009,LIB-Damhusaen-LT-B-104,40918,"",Spring,B,AS,mean,Damhusåen-B,2020-05-12,20,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-211,MQ201009,LIB-Damhusaen-LT-B-106,40653,"",Spring,B,AS,mean,Damhusåen-B,2020-05-19,21,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-212,MQ201009,LIB-Damhusaen-LT-B-108,37358,"",Spring,B,AS,mean,Damhusåen-B,2020-05-25,22,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-213,MQ201009,LIB-Damhusaen-LT-B-110,35603,"",Spring,B,AS,mean,Damhusåen-B,2020-06-03,23,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-214,MQ201009,LIB-Damhusaen-LT-B-112,37949,"",Spring,B,AS,mean,Damhusåen-B,2020-06-10,24,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-215,MQ201009,LIB-Damhusaen-LT-B-114,37862,"",Summer,B,AS,mean,Damhusåen-B,2020-06-17,25,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-216,MQ201009,LIB-Damhusaen-LT-B-116,22317,"",Summer,B,AS,mean,Damhusåen-B,2020-06-24,26,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-217,MQ201009,LIB-Damhusaen-LT-B-118,23469,"",Summer,B,AS,mean,Damhusåen-B,2020-07-02,27,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-218,MQ201009,LIB-Damhusaen-LT-B-120,24659,"",Summer,B,AS,mean,Damhusåen-B,2020-07-06,28,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-219,MQ201009,LIB-Damhusaen-LT-B-122,26874,"",Summer,B,AS,mean,Damhusåen-B,2020-07-17,29,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-220,MQ201009,LIB-Damhusaen-LT-B-124,22656,"",Summer,B,AS,mean,Damhusåen-B,2020-07-21,30,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-221,MQ201009,LIB-Damhusaen-LT-B-126,21497,"",Summer,B,AS,mean,Damhusåen-B,2020-07-31,31,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-222,MQ201009,LIB-Damhusaen-LT-B-128,23488,"",Summer,B,AS,mean,Damhusåen-B,2020-08-07,32,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-223,MQ201009,LIB-Damhusaen-LT-B-130,24952,"",Summer,B,AS,mean,Damhusåen-B,2020-08-11,33,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-224,MQ201009,LIB-Damhusaen-LT-B-132,30468,"",Summer,B,AS,mean,Damhusåen-B,2020-08-18,34,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-225,MQ201009,LIB-Damhusaen-LT-B-134,31351,"",Summer,B,AS,mean,Damhusåen-B,2020-08-24,35,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220601-220,MQ220601,LIB-Damhusaaen-LT-B-189,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-03-31,13,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-221,MQ220601,LIB-Damhusaaen-LT-B-191,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-04-07,14,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-222,MQ220601,LIB-Damhusaaen-LT-B-193,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-04-14,15,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-223,MQ220601,LIB-Damhusaaen-LT-B-195,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-04-21,16,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-224,MQ220601,LIB-Damhusaaen-LT-B-197,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-04-28,17,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-225,MQ220601,LIB-Damhusaaen-LT-B-199,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-05-07,18,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-226,MQ220601,LIB-Damhusaaen-LT-B-201,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-05-19,20,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-227,MQ220601,LIB-Damhusaaen-LT-B-203,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-05-26,21,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-228,MQ220601,LIB-Damhusaaen-LT-B-205,,"",Spring,B,AS,Activated sludge,Damhusåen-B,2021-06-07,23,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-229,MQ220601,LIB-Damhusaaen-LT-B-207,,"",Summer,B,AS,Activated sludge,Damhusåen-B,2021-06-17,24,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-230,MQ220601,LIB-Damhusaaen-LT-B-209,,"",Summer,B,AS,Activated sludge,Damhusåen-B,2021-06-23,25,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-231,MQ220601,LIB-Damhusaaen-LT-B-211,,"",Summer,B,AS,Activated sludge,Damhusåen-B,2021-07-08,27,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-232,MQ220601,LIB-Damhusaaen-LT-B-213,,"",Summer,B,AS,Activated sludge,Damhusåen-B,2021-07-29,30,2021,,"","","","","","",,,,,,,,,,,"",,
MQ220601-233,MQ220601,LIB-Damhusaaen-LT-B-215,,"",Summer,B,AS,Activated sludge,Damhusåen-B,2021-08-06,31,2021,,"","","","","","",,,,,,,,,,,"",,
