Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181023-202,MQ181023,LIB-BB-Dam-C-20170906,,Dam-C-20170906,Summer,C,AS,mean,Damhusåen-C,2017-09-06,36,2017,,"","","","","","",,,,,,,16.93818995,5.528984371,,,"",,
MQ181023-203,MQ181023,LIB-BB-Dam-C-20170920,,Dam-C-20170920,Fall,C,AS,mean,Damhusåen-C,2017-09-20,38,2017,,"","","","","","",,,,,,,21.87667169,4.270555643,,,"",,
MQ181023-204,MQ181023,LIB-BB-Dam-C-20171004,,Dam-C-20171004,Fall,C,AS,mean,Damhusåen-C,2017-10-04,40,2017,,"","","","","","",,,,,,,21.16422701,7.775338456,,,"",,
MQ181023-205,MQ181023,LIB-BB-Dam-C-20171020,,Dam-C-20171020,Fall,C,AS,mean,Damhusåen-C,2017-10-20,42,2017,,"","","","","","",,,,,,,20.93566114,8.152997752,,,"",,
MQ181023-206,MQ181023,LIB-BB-Dam-C-20171101,,Dam-C-20171101,Fall,C,AS,mean,Damhusåen-C,2017-11-01,44,2017,,"","","","","","",,,,,,,20.17701697,10.15759762,,,"",,
MQ181023-207,MQ181023,LIB-BB-Dam-C-20171117,,Dam-C-20171117,Fall,C,AS,mean,Damhusåen-C,2017-11-17,46,2017,,"","","","","","",,,,,,,19.50226134,13.41278553,,,"",,
MQ181023-208,MQ181023,LIB-BB-Dam-C-20171206,,Dam-C-20171206,Fall,C,AS,mean,Damhusåen-C,2017-12-06,49,2017,,"","","","","","",,,,,,,14.05801683,17.88850557,,,"",,
MQ181023-209,MQ181023,LIB-BB-Dam-C-20171221,,Dam-C-20171221,Winter,C,AS,mean,Damhusåen-C,2017-12-21,51,2017,,"","","","","","",,,,,,,16.76190245,17.56703779,,,"",,
MQ181023-210,MQ181023,LIB-BB-Dam-C-20180108,,Dam-C-20180108,Winter,C,AS,mean,Damhusåen-C,2018-01-08,2,2018,,"","","","","","",,,,,,,24.05534212,6.063457216,,,"",,
MQ181023-211,MQ181023,LIB-BB-Dam-C-20180119,,Dam-C-20180119,Winter,C,AS,mean,Damhusåen-C,2018-01-19,3,2018,,"","","","","","",,,,,,,10.82405291,4.832470859,,,"",,
MQ181023-212,MQ181023,LIB-BB-Dam-C-20180202,,Dam-C-20180202,Winter,C,AS,mean,Damhusåen-C,2018-02-02,5,2018,,"","","","","","",,,,,,,19.08646598,9.939365428,,,"",,
MQ181023-213,MQ181023,LIB-BB-Dam-C-20180208,,Dam-C-20180208,Winter,C,AS,mean,Damhusåen-C,2018-02-08,6,2018,,"","","","","","",,,,,,,15.39415455,10.62803826,,,"",,
MQ181023-214,MQ181023,LIB-BB-Dam-C-20180219,,Dam-C-20180219,Winter,C,AS,mean,Damhusåen-C,2018-02-19,8,2018,,"","","","","","",,,,,,,16.97831056,7.124562229,,,"",,
MQ181023-215,MQ181023,LIB-BB-Dam-C-20180226,,Dam-C-20180226,Winter,C,AS,mean,Damhusåen-C,2018-02-26,9,2018,,"","","","","","",,,,,,,17.37951661,7.930845225,,,"",,
MQ181023-216,MQ181023,LIB-BB-Dam-C-20180305,,Dam-C-20180305,Winter,C,AS,mean,Damhusåen-C,2018-03-05,10,2018,,"","","","","","",,,,,,,23.04260079,17.27562595,,,"",,
MQ181023-249,MQ181023,LIB-BB-Dam-C-20180919,,Dam-C-20180919,Fall,C,AS,mean,Damhusåen-C,2018-09-19,38,2018,,"","","","","","",,,,,,,15.98988474,13.73686687,,,"",,
MQ181023-250,MQ181023,LIB-BB-Dam-C-20180921,,Dam-C-20180921,Fall,C,AS,mean,Damhusåen-C,2018-09-21,38,2018,,"","","","","","",,,,,,,18.4749307,6.669802938,,,"",,
MQ190919-163,MQ190919,LIB-Damhusaen-LT-C-122_Biofos,,"",Fall,C,AS,mean,Damhusåen-C,2018-09-28,39,2018,,"","","","","","",,,,,,,,,,,_Biofos,,
MQ190919-164,MQ190919,LIB-Damhusaen-LT-C-123,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-02,40,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-165,MQ190919,LIB-Damhusaen-LT-C-124_Biofos,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-04,40,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-166,MQ190919,LIB-Damhusaen-LT-C-125,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-11,41,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-167,MQ190919,LIB-Damhusaen-LT-C-126_Biofos,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-16,42,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-168,MQ190919,LIB-Damhusaen-LT-C-127,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-18,42,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-169,MQ190919,LIB-Damhusaen-LT-C-128_Biofos,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-22,43,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-170,MQ190919,LIB-Damhusaen-LT-C-129,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-26,43,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-171,MQ190919,LIB-Damhusaen-LT-C-130_Biofos,,"",Fall,C,AS,mean,Damhusåen-C,2018-10-30,44,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-172,MQ190919,LIB-Damhusaen-LT-C-131,,"",Fall,C,AS,mean,Damhusåen-C,2018-11-01,44,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-173,MQ190919,LIB-Damhusaen-LT-C-132_Biofos,,"",Fall,C,AS,mean,Damhusåen-C,2018-11-08,45,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-174,MQ190919,LIB-Damhusaen-LT-C-133,,"",Fall,C,AS,mean,Damhusåen-C,2018-11-12,46,2018,,"","","","","","",,,,,,,,,,,"",,
MQ190919-175,MQ190919,LIB-Damhusaen-LT-C-134_Biofos,,"",Fall,C,AS,mean,Damhusåen-C,2018-11-15,46,2018,,"","","","","","",,,,,,,,,,,"",,
