																																	
																																	
	Rapportperiode: 01-01-2016  -  01-05-2017																																
															Ejby Mølle Renseanlæg																		
																																	
	Kontaktfilterrapport: januar 2016																																
																																	
																																	
																																	
																																	
			Tilløb Kontaktfilter				Udløb Kontaktfilter							Skyllevand Kontaktfilter					Jern Kontaktfilter			Flow fra BF2				Slamvand Fra Kontaktfilter				KWH Kontaktfilter			
			Flow	Max time		Min time	Flow		Max time	Min time				Flow		Max time		Min time	Flow	Max time	Min time	Flow	Max time	Min time		Flow		Max time	Min time	KWH	Max time		Min time
Dato			m³	m³		m³	m³		m³	m³				m³		m³		m³	l	l	l	m³	m³	m³		m³		m³	m³	kWh	kW		kW
19 maj  tor			43500				40900							3210					0			0	0	0		2000				2113			
20 maj  fre			42000				39300							3200					0			0	0	0		2020				2055			
21 maj  lør			45500				42300							2530					316			15000	0	0		2580				2744			
22 maj  søn			50500				46500							5140					127			6800	0	0		3640				2989			
23 maj  man			58100				53400							5280					368			18400	0	0		4690				3620			
24 maj  tir			47400				43000							6100					5			300	0	0		3820				2658			
25 maj  ons			41500				39000							3210					0			0	0	0		2000				2036			
26 maj  tor			41200				38600							3200					0			0	0	0		1960				2032			
27 maj  fre			40500				38200							2870					0			0	0	0		1840				1982			
28 maj  lør			38300				35600							3200					0			0	0	0		1930				1908			
29 maj  søn			41800				39100							3210					2			200	0	0		1960				2109			
30 maj  man			50300				45000							6360					211			10800	0	0		4770				3242			
31 maj  tir			46800				42200							6170					4			400	0	0		3900				2658			
01 jun  ons			41300				38500							3240					0			0	0	0		2010				2052			
02 jun  tor			40800				38100							3240					0			0	0	0		2000				2061			
03 jun  fre			39600				37200							3240					0			0	0	0		2000				2010			
04 jun  lør			36400				34100							2820					0			0	0	0		1790				1828			
05 jun  søn			36000				33900							2820					0			0	0	0		1840				1863			
06 jun  man			1500				2900							990					0			0	0	0		410				881			
07 jun  tir			28100				26000							0					0			0	0	0		10				1333			
08 jun  ons			40700				37000							5740					0			0	0	0		3500				2363			
09 jun  tor			38700				36600							2890					0			0	0	0		1740				1878			
10 jun  fre			38000				35900							2880					0			0	0	0		1750				1824			
11 jun  lør			35000				33000							2870					0			0	0	0		1710				1713			
12 jun  søn			34800				32900							2890					0			0	0	0		1750				1740			
13 jun  man			42900				41100							2890					0			0	0	0		1720				2032			
14 jun  tir			37900				36000							2890					0			0	0	0		1710				1825			
15 jun  ons			42800				40500							2120					228			9500	0	0		2130				2397			
16 jun  tor			53400				49300							5680					167			10200	0	0		4180				3160			
17 jun  fre			45400				44300							750					104			3600	0	0		950				2042			
18 jun  lør			36700				34900							2920					0			0	0	0		1720				1756			
19 jun  søn			33800				32000							2900					0			0	0	0		1730				1743			
20 jun  man			54400				50500							3590					407			29600	0	0		3920				3501			
21 jun  tir			56600				53400							4740					135			5000	0	0		3480				3043			
22 jun  ons			43100				39700							4610					49			1400	0	0		3010				2406			
23 jun  tor			37800				35900							2930					0			0	0	0		1750				1830			
24 jun  fre			37500				35600							2940					0			0	0	0		1720				1813			
25 jun  lør			50500				47100							3430					272			17200	0	0		3100				3060			
26 jun  søn			53500				50200							5660					10			300	0	0		3640				2837			
27 jun  man			48100				46400							2940					0			0	0	0		1770				2207			
28 jun  tir			38400				36500							2920					0			0	0	0		1710				1837			
29 jun  ons			43500				38800							7000					119			3300	0	0		4390				2840			
30 jun  tor			54900				51700							4030					195			12900	0	0		3240				3040			
01 jul  fre			60800				55300							6830					468			27700	0	0		5810				4208			
02 jul  lør			49200				44000							7640					191			5500	0	0		5280				3302			
03 jul  søn			48400				45200							5560					2			200	0	0		3390				2649			
04 jul  man			40500				38700							2950					0			0	0	0		1730				1979			
05 jul  tir			49100				42800							5030					837			38800	0	0		5800				4220			
06 jul  ons			60000				56200							7370					9			600	0	0		4660				3304			
07 jul  tor			40200				38200							2610					0			0	0	0		1800				1936			
08 jul  fre			54500				51500							3190					238			14400	0	0		2810				3183			
09 jul  lør			46500				44000							4080					20			1700	0	0		2660				2335			
10 jul  søn			49900				47300							2680					296			15600	0	0		2810				2935			
11 jul  man			52800				50400							3060					172			10700	0	0		2460				2836			
12 jul  tir			46800				45300							2940					0			0	0	0		1710				2165			
13 jul  ons			40300				38500							2920					0			0	0	0		1750				1942			
14 jul  tor			45100				43000							2410					173			9600	0	0		2200				2605			
15 jul  fre			36400				34400							2920					0			0	0	0		1750				1841			
16 jul  lør			36500				34500							2910					0			0	0	0		1700				1812			
17 jul  søn			35600				33800							2900					0			0	0	0		1680				1775			
18 jul  man			35200				33200							2910					0			0	0	0		1730				1771			
19 jul  tir			34400				32500							2910					0			0	0	0		1740				1736			
20 jul  ons			34400				32300							2900					0			0	0	0		1710				1738			
21 jul  tor			31100				30900							0					0			0	0	0		0				1351			
22 jul  fre			30500				30200							0					0			0	0	0		0				1272			
23 jul  lør			28800				28300							0					0			0	0	0		0				1179			
24 jul  søn			28500				28200							0					0			0	0	0		0				1181			
25 jul  man			37600				34100							5230					39			1100	0	0		3350				2252			
26 jul  tir			30500				30200							0					0			0	0	0		0				1246			
27 jul  ons			33500				33100							0					0			0	0	0		0				1320			
28 jul  tor			30100				30000							0					0			0	0	0		0				1227			
29 jul  fre			48800				43600							4880					497			22100	0	0		5070				3723			
30 jul  lør			48000				44600							4240					255			12400	0	0		3360				2970			
31 jul  søn			30900				30600							0					0			0	0	0		0				1242			
01 aug  man			40900				38800							1050					91			6200	0	0		1080				1965			
02 aug  tir			35300				34600							0					0			0	0	0		0				1362			
03 aug  ons			53300				49400							3150					260			16800	0	0		3250				3243			
04 aug  tor			44900				44300							0					0			0	0	0		0				1703			
05 aug  fre			37800				35900							2300					9			400	0	0		1550				1888			
06 aug  lør			35400				33400							1360					56			2000	0	0		1210				1781			
07 aug  søn			31500				30600							0					0			0	0	0		0				1315			
08 aug  man			41200				38800							2590					2			100	0	0		1660				1952			
09 aug  tir			38100				35800							2290					6			300	0	0		1540				1813			
10 aug  ons			38300				35900							2300					5			200	0	0		1550				1816			
11 aug  tor			33700				32800							0					0			0	0	0		0				1328			
12 aug  fre			32400				31700							0					0			0	0	0		0				1289			
13 aug  lør			30400				29700							0					0			0	0	0		0				1228			
14 aug  søn			36400				32800							3340					127			4900	0	0		2630				2219			
15 aug  man			33600				32900							0					0			0	0	0		0				1293			
16 aug  tir			33700				32900							0					0			0	0	0		0				1307			
17 aug  ons			32600				31900							0					0			0	0	0		0				1287			
18 aug  tor			33600				32800							0					0			0	0	0		0				1308			
19 aug  fre			32900				32600							0					0			0	0	0		0				1306			
20 aug  lør			31100				30600							0					0			0	0	0		0				1243			
21 aug  søn			30800				30100							0					0			0	0	0		0				1245			
22 aug  man			52900				47800							4580					254			16200	0	0		4260				3336			
23 aug  tir			2300				2400							210					0			0	0	0		590				935			
24 aug  ons			1100				100							0					0			0	0	0		0				842			
25 aug  tor			600				0							0					0			0	0	0		0				754			
26 aug  fre			30600				28700							0					0			0	0	0		10				1326			
27 aug  lør			35100				33800							430					57			5300	0	0		450				1579			
28 aug  søn			48300				43200							3890					398			21600	0	0		4280				3387			
29 aug  man			34700				33800							0					0			0	0	0		20				1390			
30 aug  tir			34400				33500							0					0			0	0	0		0				1393			
31 aug  ons			35300				34400							0					0			0	0	0		0				1414			
01 sep  tor			37000				36000							0					0			0	0	0		0				1584			
02 sep  fre			36800				35800							0					0			0	0	0		0				1612			
03 sep  lør			38700				37200							360					62			4300	0	0		420				1819			
04 sep  søn			68500				60600							6230					877			56600	0	0		6920				5527			
05 sep  man			51800				45900							5160					232			7300	0	0		4510				3468			
06 sep  tir			37400				36600							0					0			0	0	0		0				1454			
07 sep  ons			37300				36200							490					0			0	0	0		60				1584			
08 sep  tor			36900				35800							0					0			0	0	0		0				1468			
09 sep  fre			35100				34000							0					0			0	0	0		0				1386			
10 sep  lør			32300				31300							0					0			0	0	0		0				1301			
11 sep  søn			31900				31000							0					0			0	0	0		0				1302			
12 sep  man			34900				33800							0					0			0	0	0		0				1351			
13 sep  tir			34700				33800							0					0			0	0	0		0				1367			
14 sep  ons			34500				33500							0					0			0	0	0		0				1400			
15 sep  tor			34900				33900							0					0			0	0	0		0				1376			
16 sep  fre			33900				31700							2870					0			0	0	0		1810				1733			
17 sep  lør			31000				30300							0					0			0	0	0		0				1259			
18 sep  søn			30900				30000							0					0			0	0	0		0				1281			
19 sep  man			34400				33400							0					0			0	0	0		0				1353			
20 sep  tir			36400				35100							100					6			300	0	0		150				1456			
21 sep  ons			38300				36300							1230					38			1200	0	0		1030				1735			
22 sep  tor			34700				33700							0					0			0	0	0		0				1352			
23 sep  fre			32600				31600							0					0			0	0	0		0				1295			
24 sep  lør			30500				29600							0					0			0	0	0		0				1234			
25 sep  søn			30500				29400							0					0			0	0	0		0				1270			
26 sep  man			45100				42000							2100					172			11700	0	0		2190				2436			
27 sep  tir			32700				31900							0					0			0	0	0		0				1350			
28 sep  ons			32600				31700							0					0			0	0	0		0				1316			
29 sep  tor			51000				46700							3770					237			14100	0	0		3480				3050			
30 sep  fre			40300				39500							0					0			0	0	0		0				1574			
01 okt  lør			34600				32800							530					83			4500	0	0		630				1589			
02 okt  søn			55900				50200							6280					365			20000	0	0		5030				3742			
03 okt  man			55900				48700							5710					511			24600	0	0		6150				4110			
04 okt  tir			40800				40500							0					0			0	0	0		0				1616			
05 okt  ons			34700				33800							0					0			0	0	0		0				1434			
06 okt  tor			34500				33600							0					0			0	0	0		0				1410			
07 okt  fre			33400				32600							0					0			0	0	0		0				1343			
08 okt  lør			33200				32500							0					0			0	0	0		0				1335			
09 okt  søn			38300				33700							4030					230			8500	0	0		3510				2575			
10 okt  man			42200				39600							1450					210			10800	0	0		1830				2257			
11 okt  tir			34600				33800							0					0			0	0	0		0				1383			
12 okt  ons			34000				33300							0					0			0	0	0		0				1357			
13 okt  tor			36100				35500							0					0			0	0	0		0				1445			
14 okt  fre			32800				32100							0					0			0	0	0		0				1336			
15 okt  lør			36700				34900							1610					53			1400	0	0		1290				1815			
16 okt  søn			30900				30300							0					0			0	0	0		0				1272			
17 okt  man			32700				32000							0					0			0	0	0		0				1297			
18 okt  tir			41200				40000							410					55			3700	0	0		450				1755			
19 okt  ons			59200				50800							6520					907			53400	0	0		7480				5111			
20 okt  tor			48500				43100							4890					338			12000	0	0		4680				3407			
21 okt  fre			55100				46900							6290					617			40700	0	0		7190				4713			
22 okt  lør			49400				46900							2370					67			3700	0	0		2230				2510			
23 okt  søn			52500				46500							4400					32			38900	0	0		5250				4000			
24 okt  man			44400				38400							5480					306			9700	0	0		4960				3530			
25 okt  tir			43600				43600							0					0			0	0	0		0				1682			
26 okt  ons			45800				43600							1660					92			3600	0	0		1360				2218			
27 okt  tor			43200				41400							2450					0			0	0	0		1470				1966			
28 okt  fre			40200				39700							0					0			0	0	0		0				1585			
29 okt  lør			35800				35100							0					0			0	0	0		0				1421			
30 okt  søn			34300				33700							0					0			0	0	0		0				1387			
31 okt  man			36100				35400							0					0			0	0	0		0				1433			
01 nov  tir			36800				36100							0					0			0	0	0		0				1472			
02 nov  ons			42300				40300							2230					8			300	0	0		1540				1975			
03 nov  tor			42100				40700							410					8			300	0	0		330				1739			
04 nov  fre			49500				45800							3500					275			14100	0	0		3050				2911			
05 nov  lør			57500				51400							6470					446			23400	0	0		5390				4005			
06 nov  søn			43100				41200							1800					48			1300	0	0		1470				2071			
07 nov  man			35100				34600							5					0			0	0	0		14				1419			
08 nov  tir			38300				37800							5					0			0	0	0		14				1504			
