																																	
																																	
																																	
	Rapportperiode: 01-01-2016  -  01-05-2017														Ejby Mølle Renseanlæg																		
																																	
	Drifttimer Luftningstank 2: januar 2016																																
																																	
																																	
																																	
																																	
			LT-RO1.2			LT-RO2.2			LT-RO3.2				LT-RO4.2					LT-RO5.2		LT-RO6.2		LT-OM1.2		LT-OM2.2			LT-OM3.2			LT-OM4.2			
			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"			"Rotor
 Drifttimer"				"Rotor
 Drifttimer"					"Rotor 
Drifttimer"		"Rotor 
Drifttimer"		Omrører Drifttimer		Omrører Drifttimer			Omrører Drifttimer			Omrører Drifttimer			
Dato			Total h	Døgn h		Total h	Døgn h		 Total h	Døgn h			Total h			Døgn h		 Total h	Døgn h	Total h	 Døgn h	Total h	Døgn h	Total h		Døgn h	Total h	Døgn h		Total h	Døgn h		
24 mar  tor			94296	7.0		91647	7.0		57480	3.0			57344			2.0		88441	6.0	88741	6.0	42410	7.0	51374		7.0	50710	6.0		51498	7.0		
25 mar  fre			94302	6.0		91653	6.0		57482	2.0			57347			3.0		88446	5.0	88747	6.0	42417	7.0	51381		7.0	50718	8.0		51505	7.0		
26 mar  lør			94307	5.0		91659	6.0		57485	3.0			57349			2.0		88451	5.0	88752	5.0	42424	7.0	51389		8.0	50724	6.0		51512	7.0		
27 mar  søn			94313	6.0		91665	6.0		57487	2.0			57351			2.0		88457	6.0	88757	5.0	42430	6.0	51396		7.0	50730	6.0		51519	7.0		
28 mar  man			94320	7.0		91672	7.0		57489	2.0			57353			2.0		88462	5.0	88763	6.0	42436	6.0	51403		7.0	50737	7.0		51526	7.0		
29 mar  tir			94327	7.0		91679	7.0		57493	4.0			57357			4.0		88469	7.0	88770	7.0	42443	7.0	51409		6.0	50743	6.0		51533	7.0		
30 mar  ons			94336	9.0		91688	9.0		57499	6.0			57362			5.0		88478	9.0	88778	8.0	42448	5.0	51414		5.0	50748	5.0		51538	5.0		
31 mar  tor			94343	7.0		91695	7.0		57503	4.0			57366			4.0		88485	7.0	88785	7.0	42454	6.0	51421		7.0	50754	6.0		51544	6.0		
01 apr  fre			94350	7.0		91702	7.0		57508	5.0			57370			4.0		88492	7.0	88792	7.0	42460	6.0	51427		6.0	50760	6.0		51550	6.0		
02 apr  lør			94357	7.0		91709	7.0		57511	3.0			57373			3.0		88498	6.0	88798	6.0	42467	7.0	51434		7.0	50767	7.0		51557	7.0		
03 apr  søn			94364	7.0		91716	7.0		57514	3.0			57377			4.0		88504	6.0	88805	7.0	42473	6.0	51440		6.0	50773	6.0		51564	7.0		
04 apr  man			94371	7.0		91724	8.0		57519	5.0			57381			4.0		88511	7.0	88812	7.0	42479	6.0	51445		5.0	50779	6.0		51569	5.0		
05 apr  tir			94378	7.0		91730	6.0		57523	4.0			57384			3.0		88517	6.0	88818	6.0	42484	5.0	51450		5.0	50785	6.0		51574	5.0		
06 apr  ons			94385	7.0		91737	7.0		57526	3.0			57387			3.0		88524	7.0	88825	7.0	42487	3.0	51456		6.0	50787	2.0		51580	6.0		
07 apr  tor			94392	7.0		91746	9.0		57528	2.0			57389			2.0		88529	5.0	88833	8.0	42491	4.0	51460		4.0	50791	4.0		51583	3.0		
08 apr  fre			94398	6.0		91752	6.0		57531	3.0			57393			4.0		88535	6.0	88839	6.0	42497	6.0	51466		6.0	50797	5.0		51590	7.0		
09 apr  lør			94405	7.0		91759	7.0		57534	3.0			57396			3.0		88541	6.0	88845	6.0	42504	7.0	51473		7.0	50804	7.0		51596	6.0		
10 apr  søn			94412	7.0		91766	7.0		57537	3.0			57399			3.0		88547	6.0	88852	7.0	42510	6.0	51480		7.0	50810	6.0		51603	7.0		
11 apr  man			94419	7.0		91773	7.0		57540	3.0			57403			4.0		88554	7.0	88858	6.0	42516	6.0	51486		6.0	50816	6.0		51609	6.0		
12 apr  tir			94426	7.0		91781	8.0		57544	4.0			57407			4.0		88561	6.0	88865	7.0	42521	5.0	51491		5.0	50821	5.0		51615	6.0		
13 apr  ons			94433	7.0		91788	7.0		57548	4.0			57412			5.0		88569	8.0	88872	7.0	42527	6.0	51497		6.0	50827	6.0		51621	6.0		
14 apr  tor			94441	8.0		91796	8.0		57554	6.0			57418			6.0		88576	7.0	88880	8.0	42532	5.0	51503		6.0	50832	5.0		51626	5.0		
15 apr  fre			94449	8.0		91803	7.0		57561	7.0			57425			6.0		88584	8.0	88887	7.0	42538	6.0	51509		6.0	50838	6.0		51632	6.0		
16 apr  lør			94455	6.0		91810	7.0		57566	5.0			57429			4.0		88591	7.0	88894	7.0	42544	6.0	51515		6.0	50844	6.0		51638	6.0		
17 apr  søn			94462	7.0		91816	6.0		57570	4.0			57433			4.0		88597	6.0	88900	6.0	42550	6.0	51522		7.0	50850	6.0		51645	7.0		
18 apr  man			94470	8.0		91824	8.0		57573	3.0			57436			3.0		88604	7.0	88907	7.0	42555	5.0	51528		6.0	50856	6.0		51651	6.0		
19 apr  tir			94476	6.0		91831	7.0		57577	4.0			57440			4.0		88610	6.0	88914	7.0	42562	7.0	51534		6.0	50862	6.0		51657	6.0		
20 apr  ons			94484	8.0		91838	7.0		57581	4.0			57445			5.0		88617	7.0	88921	7.0	42568	6.0	51540		6.0	50868	6.0		51663	6.0		
21 apr  tor			94490	6.0		91845	7.0		57586	5.0			57450			5.0		88624	7.0	88927	6.0	42573	5.0	51546		6.0	50874	6.0		51669	6.0		
22 apr  fre			94497	7.0		91851	6.0		57589	3.0			57454			4.0		88630	6.0	88933	6.0	42580	7.0	51552		6.0	50880	6.0		51676	7.0		
23 apr  lør			94504	7.0		91858	7.0		57592	3.0			57457			3.0		88636	6.0	88940	7.0	42586	6.0	51559		7.0	50887	7.0		51683	7.0		
24 apr  søn			94510	6.0		91865	7.0		57595	3.0			57459			2.0		88642	6.0	88946	6.0	42593	7.0	51566		7.0	50893	6.0		51689	6.0		
25 apr  man			94518	8.0		91873	8.0		57598	3.0			57462			3.0		88650	8.0	88953	7.0	42598	5.0	51572		6.0	50899	6.0		51695	6.0		
26 apr  tir			94525	7.0		91880	7.0		57601	3.0			57465			3.0		88656	6.0	88959	6.0	42610	12.0	51573		1.0	50905	6.0		51701	6.0		
27 apr  ons			94531	6.0		91886	6.0		57603	2.0			57468			3.0		88662	6.0	88965	6.0	42615	5.0	51573		0.0	50910	5.0		51707	6.0		
28 apr  tor			94539	8.0		91894	8.0		57607	4.0			57472			4.0		88669	7.0	88972	7.0	42622	7.0	51573		0.0	50916	6.0		51713	6.0		
29 apr  fre			94545	6.0		91900	6.0		57610	3.0			57475			3.0		88675	6.0	88978	6.0	42626	4.0	51573		0.0	50921	5.0		51718	5.0		
30 apr  lør			94551	6.0		91906	6.0		57612	2.0			57477			2.0		88681	6.0	88984	6.0	42632	6.0	51573		0.0	50926	5.0		51722	4.0		
01 maj  søn			94558	7.0		91913	7.0		57615	3.0			57480			3.0		88686	5.0	88990	6.0	42638	6.0	51573		0.0	50932	6.0		51729	7.0		
02 maj  man			94566	8.0		91920	7.0		57618	3.0			57483			3.0		88694	8.0	88997	7.0	42644	6.0	51573		0.0	50939	7.0		51735	6.0		
03 maj  tir			94574	8.0		91928	8.0		57622	4.0			57488			5.0		88702	8.0	89004	7.0	42650	6.0	51573		0.0	50944	5.0		51741	6.0		
04 maj  ons			94581	7.0		91936	8.0		57627	5.0			57493			5.0		88709	7.0	89011	7.0	42656	6.0	51573		0.0	50950	6.0		51747	6.0		
05 maj  tor			94588	7.0		91943	7.0		57631	4.0			57497			4.0		88716	7.0	89018	7.0	42663	7.0	51573		0.0	50957	7.0		51753	6.0		
06 maj  fre			94596	8.0		91950	7.0		57635	4.0			57501			4.0		88723	7.0	89026	8.0	42669	6.0	51573		0.0	50963	6.0		51759	6.0		
07 maj  lør			94603	7.0		91957	7.0		57638	3.0			57503			2.0		88730	7.0	89032	6.0	42676	7.0	51573		0.0	50970	7.0		51766	7.0		
08 maj  søn			94610	7.0		91965	8.0		57640	2.0			57506			3.0		88736	6.0	89039	7.0	42682	6.0	51573		0.0	50976	6.0		51772	6.0		
09 maj  man			94620	10.0		91974	9.0		57645	5.0			57510			4.0		88746	10.0	89048	9.0	42687	5.0	51573		0.0	50981	5.0		51777	5.0		
10 maj  tir			94632	12.0		91987	13.0		57654	9.0			57519			9.0		88757	11.0	89059	11.0	42690	3.0	51573		0.0	50984	3.0		51781	4.0		
11 maj  ons			94640	8.0		91995	8.0		57661	7.0			57527			8.0		88765	8.0	89067	8.0	42695	5.0	51573		0.0	50989	5.0		51786	5.0		
12 maj  tor			94648	8.0		92003	8.0		57668	7.0			57533			6.0		88773	8.0	89076	9.0	42704	9.0	51573		0.0	50994	5.0		51792	6.0		
13 maj  fre			94656	8.0		92011	8.0		57673	5.0			57539			6.0		88781	8.0	89083	7.0	42716	12.0	51573		0.0	51000	6.0		51798	6.0		
14 maj  lør			94663	7.0		92019	8.0		57677	4.0			57543			4.0		88788	7.0	89091	8.0	42728	12.0	51573		0.0	51007	7.0		51803	5.0		
