																																					
	"Rapportperiode: 01-01-2016  -  01-05-2017
"																																				
											Ejby Mølle Renseanlæg																										
																																					
																																					
																																					
			Tilløb Renseanlæg												Tilløb Regntank				Afløb Regntank							Afløb		Afløb Renseanlæg									
			Flow		Max	Min		Bund-fald	COD ToT	NH4+		NO3+ NO2		PO4					Regn	Afløb		NH4+ NH3	NO3+ NO2	PO4- P	COD ToT	MKT		Flow	Max Time	Temp		Ilt	Bund-fald	NH4+ NH3	NO3+ NO2	PO4	Jern
Dato			m³		m³	m³		ml/l	mg/l	mg/l		mg/l		mg/l	m³				mm	m³		mg/l	mg/l	mg/l	mg/l	m³		m³	m³	°C		%	ml/l	mg/l	mg/l	mg/l	mg/l
14 apr  tor			61,600		6,500	1,600									800				3.2	0						0		58,100	6,300	10.6		82		0.002	1.42		
15 apr  fre			64,500		4,600	1,500									0				0.0	0						0		58,700	4,100	10.9		83		0.054	2.99		
16 apr  lør			55,400		5,100	1,400									0				1.6	0						0		53,100	4,600	10.7		81		0.002	2.39		
17 apr  søn			45,900		2,400	1,300									0				0.0	0						0		45,100	2,300	10.7		99		0.000	1.75		
18 apr  man			53,600		3,100	1,400									0				0.8	0						0		48,900	2,900	10.3		93		0.002	1.84		
19 apr  tir			48,100		2,800	1,300									0				0.0	0						0		45,900	2,600	10.2		95		0.001	1.40		
20 apr  ons			46,800		2,200	1,600									0				0.0	0						0		44,200	2,300	10.3		86		0.002	1.30		
21 apr  tor			46,000		2,300	1,500									0				0.0	0						0		43,200	2,200	10.7		100		0.001	1.32		
22 apr  fre			43,200		2,300	1,300									0				0.0	0						0		40,700	2,200	10.7		100		0.000	1.40		
23 apr  lør			42,200		2,200	1,200									0				0.0	0						0		40,300	2,200	10.7		100		0.001	2.03		
24 apr  søn			44,600		2,300	1,200									0				0.4	0						0		42,400	2,200	10.6		99		0.000	2.95		
25 apr  man			65,400		6,700	1,600									4100				7.8	0						0		61,200	6,400	10.4		82		0.057	3.50		
26 apr  tir			82,500		6,700	1,500									3800				7.6	0						0		76,100	6,400	10.3		81		0.210	3.32		
27 apr  ons			90,400		6,600	2,300			310	12.30		1.01		0.70	7800				2.6	1,900						0		83,000	6,200	9.8		82		0.252	3.96	0.100	0.100
28 apr  tor			54,400		3,000	1,600									0				0.0	0						0		49,200	3,100	9.4		93		0.000	1.22		
29 apr  fre			99,800		6,700	1,600									19300				13.8	11,200						0		92,600	6,400	9.6		83		0.988	3.50		
30 apr  lør			89,600		5,700	2,800									300				2.2	100						0		81,300	5,100	9.9		83		0.012	3.94		
01 maj  søn			58,600		3,100	1,800									0				0.0	0						0		53,000	2,900	9.5		86		0.001	2.09		
02 maj  man			56,600		2,900	1,800									0				0.0	0						0		51,800	2,700	10.0		95		0.000	1.75		
03 maj  tir			58,400		3,600	1,700									0				1.2	0						0		53,800	3,300	10.7		83		0.000	1.43		
04 maj  ons			51,200		2,400	1,700									0				0.0	0						0		48,100	2,400	11.1		100		0.002	1.13		
05 maj  tor			47,600		2,400	1,400									0				0.0	0						0		44,800	2,300	11.4		100		0.001	1.06		
06 maj  fre			48,300		2,400	1,600									0				0.0	0						0		45,600	2,300	11.4		100		0.001	1.53		
07 maj  lør			46,000		2,300	1,400									0				0.0	0						0		43,900	2,300	11.9		100		0.002	1.64		
08 maj  søn			45,800		2,400	1,300									0				0.0	0						0		43,600	2,200	12.1		100		0.002	2.89		
09 maj  man			48,300		2,300	1,600			628	23.90		0.83		1.31	0				0.0	0						0		46,000	2,300	12.3		87		0.010	3.90	0.080	0.010
