																					
																					
																					
	Rapportperiode: 01-01-2016  -  01-05-2017							Ejby Mølle Renseanlæg													
																					
	Forklaringstankene 1 - 7 Flow: januar 2016																				
																					
																					
																					
																					
		Tilløb	Tilløb	FK 1	FK 2				FK 3	FK 4	FK 5	FK 6	FK 7	Total		Jern		Polymer	Humus	Elforbrug	
		"Forklaring
MF1"	"Forklaring
MF2"	Flow	Flow				Flow	Flow	Flow	Flow	Flow	flow forklaring		dosering forklaring		Dosering	Slam	"Forklarings
tanke"	
Dato		m³	m³	m³	m³				m³	m³	m³	m³	m³	m³		liter		"Kg
"	m³	kWh	
26 maj  tor		20000	20100	4800	5230				6740	6780	7330	6120	4920	40100		1249		4	1732	560	
27 maj  fre		19600	19600	4420	5800				7080	6700	6590	5960	4610	39200		1247		0	1734	550	
28 maj  lør		18600	18600	5060	5330				6660	6280	6080	5400	4280	37200		1246		0	1752	512	
29 maj  søn		20200	20200	4850	5350				6960	6920	7350	6080	4950	40400		1247		0	1778	598	
30 maj  man		31600	31700	7360	8980				11010	10450	10550	8960	7750	63300		1247		1	1847	838	
31 maj  tir		22800	22700	5920	6430				7890	7610	7550	6530	5370	45500		1247		0	1837	669	
01 jun  ons		19900	19800	4850	5250				6650	6810	7180	6040	4950	39700		1247		1	1814	583	
02 jun  tor		19700	19700	4920	5330				6730	6730	6970	5890	4810	39400		1252		2	1809	584	
03 jun  fre		19300	19200	4450	5770				6870	6680	6430	5830	4490	38500		1250		3	1816	588	
04 jun  lør		17700	17700	4930	5150				6380	6040	5780	5120	3980	35400		1251		2	1838	553	
05 jun  søn		17800	17700	4400	4640				6090	6150	6560	5370	4360	35500		1249		5	1863	572	
06 jun  man		18600	18200	4360	5500				6680	6310	6090	5460	4360	36800		1255		5	1878	544	
07 jun  tir		18800	18400	5130	5420				6730	6310	6120	5340	4290	37200		1251		0	1870	649	
08 jun  ons		20300	19700	5400	5710				7040	6660	6650	5740	4690	40000		1249		0	1856	679	
09 jun  tor		19000	18700	4500	5480				6720	6480	6480	5650	4500	37700		1252		4	1839	663	
10 jun  fre		18700	18300	5010	5410				6690	6230	6090	5350	4210	37000		1265		2	1819	655	
11 jun  lør		17300	16800	4200	4530				5900	5900	6290	5200	4190	34100		1269		1	1825	612	
12 jun  søn		17400	17000	4060	5150				6360	5990	5810	5180	4060	34400		1266		0	1860	636	
13 jun  man		21300	21000	5320	5880				7430	7090	7300	6110	5060	42300		1270		0	1875	730	
14 jun  tir		18600	18400	4430	5510				6740	6350	6200	5500	4360	37000		1267		0	1862	667	
15 jun  ons		28600	28800	7160	8130				10140	9430	9480	8000	6970	57400		1262		3	1857	853	
16 jun  tor		32300	32600	8310	9330				11060	10560	10370	9000	8140	64900		1266		0	1889	968	
17 jun  fre		25800	25900	6110	7020				8820	8670	8820	7510	6640	51700		1263		1	1874	840	
18 jun  lør		17600	17700	5110	5190				6310	5880	5560	5020	4210	35300		1266		4	1848	650	
19 jun  søn		16500	16500	4050	4270				5660	5710	5930	5080	4290	33000		1267		3	1841	650	
20 jun  man		54800	51100	14550	16370				21000	19540	17700	15420	13920	105900		1263		0	5109	1149	
21 jun  tir		32700	32600	8440	9240				11170	10550	10520	9040	7930	65300		1262		0	1791	969	
22 jun  ons		23000	22900	5710	6330				8190	7650	7580	6480	5560	45900		1266		0	1718	755	
23 jun  tor		18500	18500	4490	4760				6340	6320	6690	5620	4580	37000		1263		0	1688	643	
24 jun  fre		18300	18000	4450	5430				6570	6280	5950	5480	4010	36300		1261		2	1718	534	
25 jun  lør		35200	35500	8480	10140				12760	11520	11650	9880	8710	70700		1266		3	1770	863	
26 jun  søn		27100	26700	6280	7570				9160	8920	9150	7810	6410	53800		1263		5	1794	727	
27 jun  man		23900	23900	6380	6820				8390	7810	7750	6740	5580	47800		1264		0	1782	689	
28 jun  tir		18800	18600	4500	5290				6510	6370	6410	5670	4500	37400		1271		8	1753	649	
29 jun  ons		26000	25900	6200	13740				8860	8490	8820	7460	6570	51900		1272		0	5088	818	
30 jun  tor		34300	34600	8190	9760				12250	11110	11410	9630	8660	68900		1273		0	1770	969	
01 jul  fre		47700	48200	11190	14090				17510	15280	15430	13050	11960	95900		1270		0	1768	1249	
02 jul  lør		31500	30900	7180	8540				10670	10220	10670	8780	7840	62400		1272		8	1726	946	
03 jul  søn		24100	24000	5920	6890				8640	7890	7770	6750	5840	48100		1274		1	1719	812	
04 jul  man		20100	19800	5320	5710				7160	6590	6450	5640	4760	39900		1269		1	1712	690	
