StartTime	Parameter	Origin	Value
2016-07-04	EM.Outlet.Flow.m3.h	Outlet	1670.46452723597
2016-07-05	EM.Outlet.Flow.m3.h	Outlet	3385.4961074961
2016-07-06	EM.Outlet.Flow.m3.h	Outlet	3056.75366295264
2016-07-07	EM.Outlet.Flow.m3.h	Outlet	1659.0245181016
2016-07-08	EM.Outlet.Flow.m3.h	Outlet	2500.8317684195
2016-07-09	EM.Outlet.Flow.m3.h	Outlet	2225.74961589758
2016-07-10	EM.Outlet.Flow.m3.h	Outlet	2791.88727479113
2016-07-11	EM.Outlet.Flow.m3.h	Outlet	2039.34161944306
2016-07-12	EM.Outlet.Flow.m3.h	Outlet	2668.76072052369
2016-07-13	EM.Outlet.Flow.m3.h	Outlet	1707.50480405273
2016-07-14	EM.Outlet.Flow.m3.h	Outlet	2328.06676720672
2016-07-15	EM.Outlet.Flow.m3.h	Outlet	1500.60530002668
2016-07-16	EM.Outlet.Flow.m3.h	Outlet	1476.59521398983
2016-07-17	EM.Outlet.Flow.m3.h	Outlet	1448.64061826108
2016-07-18	EM.Outlet.Flow.m3.h	Outlet	1416.50767266117
2016-07-19	EM.Outlet.Flow.m3.h	Outlet	1379.6009132779
2016-07-20	EM.Outlet.Flow.m3.h	Outlet	1368.68111138024
2016-07-21	EM.Outlet.Flow.m3.h	Outlet	1329.11924267491
2016-07-22	EM.Outlet.Flow.m3.h	Outlet	1291.27882907372
2016-07-23	EM.Outlet.Flow.m3.h	Outlet	1214.65139236806
2016-07-24	EM.Outlet.Flow.m3.h	Outlet	1226.46814087394
2016-07-25	EM.Outlet.Flow.m3.h	Outlet	1607.23658411623
2016-07-26	EM.Outlet.Flow.m3.h	Outlet	1289.97133119413
2016-07-27	EM.Outlet.Flow.m3.h	Outlet	1283.9296453596
2016-07-28	EM.Outlet.Flow.m3.h	Outlet	1398.33955091368
2016-07-29	EM.Outlet.Flow.m3.h	Outlet	2701.28769566343
2016-07-30	EM.Outlet.Flow.m3.h	Outlet	3334.4521697439
2016-07-31	EM.Outlet.Flow.m3.h	Outlet	1381.33405617058
2016-08-01	EM.Outlet.Flow.m3.h	Outlet	1872.51226480712
2016-08-02	EM.Outlet.Flow.m3.h	Outlet	1468.24262500914
2016-08-03	EM.Outlet.Flow.m3.h	Outlet	2496.15522140438
2016-08-04	EM.Outlet.Flow.m3.h	Outlet	2151.49182543382
2016-08-05	EM.Outlet.Flow.m3.h	Outlet	1549.8382174699
2016-08-06	EM.Outlet.Flow.m3.h	Outlet	1609.62817872434
2016-08-07	EM.Outlet.Flow.m3.h	Outlet	1266.82121363799
2016-08-08	EM.Outlet.Flow.m3.h	Outlet	1615.33586567096
2016-08-09	EM.Outlet.Flow.m3.h	Outlet	1497.72839077789
2016-08-10	EM.Outlet.Flow.m3.h	Outlet	1512.29474751459
2016-08-11	EM.Outlet.Flow.m3.h	Outlet	1358.35130898746
2016-08-12	EM.Outlet.Flow.m3.h	Outlet	1316.3273299207
2016-08-13	EM.Outlet.Flow.m3.h	Outlet	1242.25613905514
2016-08-14	EM.Outlet.Flow.m3.h	Outlet	1788.79458162576
2016-08-15	EM.Outlet.Flow.m3.h	Outlet	1352.90210057103
2016-08-16	EM.Outlet.Flow.m3.h	Outlet	1352.14886807297
2016-08-17	EM.Outlet.Flow.m3.h	Outlet	1336.47548955019
2016-08-18	EM.Outlet.Flow.m3.h	Outlet	1320.09735936088
2016-08-19	EM.Outlet.Flow.m3.h	Outlet	1385.74077066545
2016-08-20	EM.Outlet.Flow.m3.h	Outlet	1301.13428736519
2016-08-21	EM.Outlet.Flow.m3.h	Outlet	1288.64834429931
2016-08-22	EM.Outlet.Flow.m3.h	Outlet	2271.92388608593
2016-08-23	EM.Outlet.Flow.m3.h	Outlet	1970.04063346852
2016-08-24	EM.Outlet.Flow.m3.h	Outlet	1350.57639531593
2016-08-25	EM.Outlet.Flow.m3.h	Outlet	1329.1934039925
2016-08-26	EM.Outlet.Flow.m3.h	Outlet	1292.03183637409
2016-08-27	EM.Outlet.Flow.m3.h	Outlet	1247.67672440092
2016-08-28	EM.Outlet.Flow.m3.h	Outlet	3397.04860611169
2016-08-29	EM.Outlet.Flow.m3.h	Outlet	1417.07310547125
2016-08-30	EM.Outlet.Flow.m3.h	Outlet	1396.83319724752
2016-08-31	EM.Outlet.Flow.m3.h	Outlet	1412.78320400572
2016-09-01	EM.Outlet.Flow.m3.h	Outlet	1467.88161952406
2016-09-02	EM.Outlet.Flow.m3.h	Outlet	1371.0592748574
2016-09-03	EM.Outlet.Flow.m3.h	Outlet	1458.46764362011
2016-09-04	EM.Outlet.Flow.m3.h	Outlet	4586.60648258776
2016-09-05	EM.Outlet.Flow.m3.h	Outlet	3346.52981295458
2016-09-06	EM.Outlet.Flow.m3.h	Outlet	1624.2269440804
2016-09-07	EM.Outlet.Flow.m3.h	Outlet	1492.08058179497
2016-09-08	EM.Outlet.Flow.m3.h	Outlet	1467.91672278392
2016-09-09	EM.Outlet.Flow.m3.h	Outlet	1412.19644522572
2016-09-10	EM.Outlet.Flow.m3.h	Outlet	1302.40420419643
2016-09-11	EM.Outlet.Flow.m3.h	Outlet	1288.34840752249
2016-09-12	EM.Outlet.Flow.m3.h	Outlet	1368.76503629179
2016-09-13	EM.Outlet.Flow.m3.h	Outlet	1399.33715444966
2016-09-14	EM.Outlet.Flow.m3.h	Outlet	1387.24336319133
2016-09-15	EM.Outlet.Flow.m3.h	Outlet	1382.98855125326
2016-09-16	EM.Outlet.Flow.m3.h	Outlet	1341.38536485387
2016-09-17	EM.Outlet.Flow.m3.h	Outlet	1256.22060579874
2016-09-18	EM.Outlet.Flow.m3.h	Outlet	1259.14659935162
2016-09-19	EM.Outlet.Flow.m3.h	Outlet	1375.70925490494
2016-09-20	EM.Outlet.Flow.m3.h	Outlet	1398.68867488325
2016-09-21	EM.Outlet.Flow.m3.h	Outlet	1666.89249539121
2016-09-22	EM.Outlet.Flow.m3.h	Outlet	1398.36945395074
2016-09-23	EM.Outlet.Flow.m3.h	Outlet	1316.43369647538
2016-09-24	EM.Outlet.Flow.m3.h	Outlet	1227.49417735589
2016-09-25	EM.Outlet.Flow.m3.h	Outlet	1241.54155165369
2016-09-26	EM.Outlet.Flow.m3.h	Outlet	2278.57979352873
2016-09-27	EM.Outlet.Flow.m3.h	Outlet	1315.72821000484
2016-09-28	EM.Outlet.Flow.m3.h	Outlet	1296.03445926856
2016-09-29	EM.Outlet.Flow.m3.h	Outlet	2471.46141432368
2016-09-30	EM.Outlet.Flow.m3.h	Outlet	1675.25330118019
2016-10-01	EM.Outlet.Flow.m3.h	Outlet	1341.18114871742
2016-10-02	EM.Outlet.Flow.m3.h	Outlet	2944.97556012815
2016-10-03	EM.Outlet.Flow.m3.h	Outlet	3822.08977634911
2016-10-04	EM.Outlet.Flow.m3.h	Outlet	1971.79198847153
2016-10-05	EM.Outlet.Flow.m3.h	Outlet	1456.14073150479
2016-10-06	EM.Outlet.Flow.m3.h	Outlet	1386.96258962284
2016-10-07	EM.Outlet.Flow.m3.h	Outlet	1368.10643063337
2016-10-08	EM.Outlet.Flow.m3.h	Outlet	1339.26298992673
2016-10-09	EM.Outlet.Flow.m3.h	Outlet	2104.46304298726
2016-10-10	EM.Outlet.Flow.m3.h	Outlet	2231.15525925859
2016-10-11	EM.Outlet.Flow.m3.h	Outlet	1463.80599082283
2016-10-12	EM.Outlet.Flow.m3.h	Outlet	1377.76178011665
2016-10-13	EM.Outlet.Flow.m3.h	Outlet	1517.48505563694
2016-10-14	EM.Outlet.Flow.m3.h	Outlet	1369.89498988615
2016-10-15	EM.Outlet.Flow.m3.h	Outlet	1532.71955356208
2016-10-16	EM.Outlet.Flow.m3.h	Outlet	1359.29215846176
2016-10-17	EM.Outlet.Flow.m3.h	Outlet	1318.10428272106
2016-10-18	EM.Outlet.Flow.m3.h	Outlet	1460.19151615249
2016-10-19	EM.Outlet.Flow.m3.h	Outlet	4018.69244703856
2016-10-20	EM.Outlet.Flow.m3.h	Outlet	3902.7119045209
2016-10-21	EM.Outlet.Flow.m3.h	Outlet	3940.32516837056
2016-10-22	EM.Outlet.Flow.m3.h	Outlet	2992.09810589221
2016-10-23	EM.Outlet.Flow.m3.h	Outlet	2875.43863743326
2016-10-24	EM.Outlet.Flow.m3.h	Outlet	3791.96511432189
2016-10-25	EM.Outlet.Flow.m3.h	Outlet	2081.54528240264
2016-10-26	EM.Outlet.Flow.m3.h	Outlet	1704.98315988007
2016-10-27	EM.Outlet.Flow.m3.h	Outlet	2156.85318984765
2016-10-28	EM.Outlet.Flow.m3.h	Outlet	1653.63726417581
2016-10-29	EM.Outlet.Flow.m3.h	Outlet	1418.93597660006
2016-10-30	EM.Outlet.Flow.m3.h	Outlet	1405.54079447909
2016-10-31	EM.Outlet.Flow.m3.h	Outlet	1476.95145345171
2016-11-01	EM.Outlet.Flow.m3.h	Outlet	1483.22144590393
2016-11-02	EM.Outlet.Flow.m3.h	Outlet	1676.21600769972
2016-11-03	EM.Outlet.Flow.m3.h	Outlet	1515.52353730585
2016-11-04	EM.Outlet.Flow.m3.h	Outlet	2775.60394307992
2016-11-05	EM.Outlet.Flow.m3.h	Outlet	3066.78834193513
2016-11-06	EM.Outlet.Flow.m3.h	Outlet	2158.2479197409
2016-11-07	EM.Outlet.Flow.m3.h	Outlet	1493.59748752136
2016-11-08	EM.Outlet.Flow.m3.h	Outlet	1550.35977989185
2016-11-09	EM.Outlet.Flow.m3.h	Outlet	2484.7551121896
2016-11-10	EM.Outlet.Flow.m3.h	Outlet	1859.83482851944
2016-11-11	EM.Outlet.Flow.m3.h	Outlet	1826.75134521596
2016-11-12	EM.Outlet.Flow.m3.h	Outlet	1502.14436395258
2016-11-13	EM.Outlet.Flow.m3.h	Outlet	1498.91417541023
2016-11-14	EM.Outlet.Flow.m3.h	Outlet	2392.82361283418
2016-11-15	EM.Outlet.Flow.m3.h	Outlet	2016.88036087332
2016-11-16	EM.Outlet.Flow.m3.h	Outlet	2034.42876777246
2016-11-17	EM.Outlet.Flow.m3.h	Outlet	2541.08185803807
2016-11-18	EM.Outlet.Flow.m3.h	Outlet	4159.27184418598
2016-11-19	EM.Outlet.Flow.m3.h	Outlet	3851.08331816715
2016-11-20	EM.Outlet.Flow.m3.h	Outlet	3260.55751281652
2016-11-21	EM.Outlet.Flow.m3.h	Outlet	2388.8668989738
2016-11-22	EM.Outlet.Flow.m3.h	Outlet	1936.5944427898
2016-11-23	EM.Outlet.Flow.m3.h	Outlet	1802.27925871758
2016-11-24	EM.Outlet.Flow.m3.h	Outlet	1707.60966368563
2016-11-25	EM.Outlet.Flow.m3.h	Outlet	1655.27481909015
2016-11-26	EM.Outlet.Flow.m3.h	Outlet	1602.26557867526
2016-11-27	EM.Outlet.Flow.m3.h	Outlet	1538.87259037301
2016-11-28	EM.Outlet.Flow.m3.h	Outlet	1606.40831573554
2016-11-29	EM.Outlet.Flow.m3.h	Outlet	1558.48137960474
2016-11-30	EM.Outlet.Flow.m3.h	Outlet	2128.43293780908
2016-12-01	EM.Outlet.Flow.m3.h	Outlet	2342.83236453701
2016-12-02	EM.Outlet.Flow.m3.h	Outlet	1567.78216811909
2016-12-03	EM.Outlet.Flow.m3.h	Outlet	1464.10772679071
2016-12-04	EM.Outlet.Flow.m3.h	Outlet	1465.39013593992
2016-12-05	EM.Outlet.Flow.m3.h	Outlet	1561.15631423749
2016-12-06	EM.Outlet.Flow.m3.h	Outlet	1520.80896960389
2016-12-07	EM.Outlet.Flow.m3.h	Outlet	2217.33117854729
2016-12-08	EM.Outlet.Flow.m3.h	Outlet	1652.31606779711
2016-12-09	EM.Outlet.Flow.m3.h	Outlet	1712.16589189123
2016-12-10	EM.Outlet.Flow.m3.h	Outlet	2571.65470976924
2016-12-11	EM.Outlet.Flow.m3.h	Outlet	2524.27789448068
2016-12-12	EM.Outlet.Flow.m3.h	Outlet	1783.04660482951
2016-12-13	EM.Outlet.Flow.m3.h	Outlet	1614.70675287385
2016-12-14	EM.Outlet.Flow.m3.h	Outlet	1587.4463732228
2016-12-15	EM.Outlet.Flow.m3.h	Outlet	1552.45421245975
2016-12-16	EM.Outlet.Flow.m3.h	Outlet	1524.26827618153
2016-12-17	EM.Outlet.Flow.m3.h	Outlet	1426.08452356762
2016-12-18	EM.Outlet.Flow.m3.h	Outlet	1674.87251073037
2016-12-19	EM.Outlet.Flow.m3.h	Outlet	1517.70073041424
2016-12-20	EM.Outlet.Flow.m3.h	Outlet	1510.97708291084
2016-12-21	EM.Outlet.Flow.m3.h	Outlet	1529.04450907961
2016-12-22	EM.Outlet.Flow.m3.h	Outlet	1500.20512014158
2016-12-23	EM.Outlet.Flow.m3.h	Outlet	2490.51619241132
2016-12-24	EM.Outlet.Flow.m3.h	Outlet	3212.53091963867
2016-12-25	EM.Outlet.Flow.m3.h	Outlet	2238.08489352668
2016-12-26	EM.Outlet.Flow.m3.h	Outlet	2156.90110567615
2016-12-27	EM.Outlet.Flow.m3.h	Outlet	1544.95579450011
2016-12-28	EM.Outlet.Flow.m3.h	Outlet	1484.09770284956
2016-12-29	EM.Outlet.Flow.m3.h	Outlet	1485.65289670777
2016-12-30	EM.Outlet.Flow.m3.h	Outlet	1501.45103150467
2016-12-31	EM.Outlet.Flow.m3.h	Outlet	1531.03619276753
2017-01-01	EM.Outlet.Flow.m3.h	Outlet	2928.69656175744
2017-01-02	EM.Outlet.Flow.m3.h	Outlet	1613.60604192987
2017-01-03	EM.Outlet.Flow.m3.h	Outlet	2522.90633052698
2017-01-04	EM.Outlet.Flow.m3.h	Outlet	1759.87801302206
2017-01-05	EM.Outlet.Flow.m3.h	Outlet	1513.67097358422
2017-01-06	EM.Outlet.Flow.m3.h	Outlet	1501.17263208265
2017-01-07	EM.Outlet.Flow.m3.h	Outlet	1623.45324771951
2017-01-08	EM.Outlet.Flow.m3.h	Outlet	1471.50708843207
2017-01-09	EM.Outlet.Flow.m3.h	Outlet	1589.62865947013
2017-01-10	EM.Outlet.Flow.m3.h	Outlet	1639.70454814652
