Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ201110-229,MQ201110,LIB-Ribe-280,,"","","",Ribe,2018-10-24,43,2018,Fall,"","","","","","",,,,,,,,,
MQ201110-230,MQ201110,LIB-Ribe-283,,"","","",Ribe,2018-11-07,45,2018,Fall,"","","","","","",,,,,,,,,
MQ201110-231,MQ201110,LIB-Ribe-286,,"","","",Ribe,2018-11-21,47,2018,Fall,"","","","","","",,,,,,,,,
MQ201110-232,MQ201110,LIB-Ribe-289,,"","","",Ribe,2018-12-05,49,2018,Fall,"","","","","","",,,,,,,,,
MQ201110-233,MQ201110,LIB-Ribe-292,,"","","",Ribe,2018-12-19,51,2018,Winter,"","","","","","",,,,,,,,,
MQ201110-234,MQ201110,LIB-Ribe-295,,"","","",Ribe,2019-01-02,1,2019,Winter,"","","","","","",,,,,,,,,
MQ201110-235,MQ201110,LIB-Ribe-298,,"","","",Ribe,2019-01-16,3,2019,Winter,"","","","","","",,,,,,,,,
MQ201110-236,MQ201110,LIB-Ribe-301,,"","","",Ribe,2019-01-30,5,2019,Winter,"","","","","","",,,,,,,,,
MQ201110-237,MQ201110,LIB-Ribe-304,,"","","",Ribe,2019-02-13,7,2019,Winter,"","","","","","",,,,,,,,,
MQ201110-238,MQ201110,LIB-Ribe-307,,"","","",Ribe,2019-02-27,9,2019,Winter,"","","","","","",,,,,,,,,
MQ201110-239,MQ201110,LIB-Ribe-310,,"","","",Ribe,2019-03-07,10,2019,Winter,"","","","","","",,,,,,,,,
MQ201110-240,MQ201110,LIB-Ribe-313,,"","","",Ribe,2019-03-13,11,2019,Winter,"","","","","","",,,,,,,,,
MQ201110-241,MQ201110,LIB-RibeLT-1,,"","","",Ribe,2019-03-21,12,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-242,MQ201110,LIB-RibeLT-4,,"","","",Ribe,2019-03-27,13,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-243,MQ201110,LIB-RibeLT-7,,"","","",Ribe,2019-04-10,15,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-244,MQ201110,LIB-RibeLT-10,,"","","",Ribe,2019-04-24,17,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-245,MQ201110,LIB-RibeLT-13,,"","","",Ribe,2019-05-08,19,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-246,MQ201110,LIB-RibeLT-16,,"","","",Ribe,2019-05-22,21,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-247,MQ201110,LIB-RibeLT-19,,"","","",Ribe,2019-05-29,22,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-249,MQ201110,LIB-RibeLT-25,,"","","",Ribe,2019-06-12,24,2019,Spring,"","","","","","",,,,,,,,,
MQ201110-250,MQ201110,LIB-RibeLT-28,,"","","",Ribe,2019-06-19,25,2019,Summer,"","","","","","",,,,,,,,,
