Sample,SeqRun,LibID,Read no,ID,Line,Mean,Plant,Date,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc
MQ190702-97,MQ190702,LIB-Aalborg-W-LT-505,44192.0,,pre-S::Select,,Aalborg W,2017-12-12,2017,,,,,,,,,,,,,,,
MQ190702-98,MQ190702,LIB-Aalborg-W-LT-508,31058.0,,pre-S::Select,,Aalborg W,2017-12-19,2017,,,,,,,,,,,,,,,
MQ190702-99,MQ190702,LIB-Aalborg-W-LT-511,34501.0,,pre-S::Select,,Aalborg W,2018-01-04,2018,,,,,,,,,,,,,,,
MQ190702-100,MQ190702,LIB-Aalborg-W-LT-513,38323.0,,pre-S::Select,,Aalborg W,2018-01-11,2018,,,,,,,,,,,,,,,
MQ190702-101,MQ190702,LIB-Aalborg-W-LT-515,45496.0,,pre-S::Select,,Aalborg W,2018-01-17,2018,,,,,,,,,,,,,,,
MQ190702-102,MQ190702,LIB-Aalborg-W-LT-517,44426.0,,pre-S::Select,,Aalborg W,2018-01-23,2018,,,,,,,,,,,,,,,
MQ190702-103,MQ190702,LIB-Aalborg-W-LT-519,47701.0,,pre-S::Select,,Aalborg W,2018-01-31,2018,,,,,,,,,,,,,,,
MQ190702-104,MQ190702,LIB-Aalborg-W-LT-521,64548.0,,pre-S::Select,,Aalborg W,2018-02-06,2018,,,,,,,,,,,,,,,
MQ190702-105,MQ190702,LIB-Aalborg-W-LT-523,65349.0,,pre-S::Select,,Aalborg W,2018-02-12,2018,,,,,,,,,,,,,,,
MQ190702-106,MQ190702,LIB-Aalborg-W-LT-525,49901.0,,pre-S::Select,,Aalborg W,2018-02-20,2018,,,,,,,,,,,,,,,
MQ190702-107,MQ190702,LIB-Aalborg-W-LT-527,62827.0,,pre-S::Select,,Aalborg W,2018-02-27,2018,,,,,,,,,,,,,,,
MQ190702-108,MQ190702,LIB-Aalborg-W-LT-529,63058.0,,pre-S::Select,,Aalborg W,2018-03-13,2018,,,,,,,,,,,,,,,
MQ190702-109,MQ190702,LIB-Aalborg-W-LT-531,75956.0,,pre-S::Select,,Aalborg W,2018-03-20,2018,,,,,,,,,,,,,,,
MQ190702-110,MQ190702,LIB-Aalborg-W-LT-533,59896.0,,pre-S::Select,,Aalborg W,2018-03-26,2018,,,,,,,,,,,,,,,
MQ190702-111,MQ190702,LIB-Aalborg-W-LT-535,61908.0,,pre-S::Select,,Aalborg W,2018-04-05,2018,,,,,,,,,,,,,,,
MQ190702-112,MQ190702,LIB-Aalborg-W-LT-537,67041.0,,pre-S::Select,,Aalborg W,2018-04-10,2018,,,,,,,,,,,,,,,
MQ190702-113,MQ190702,LIB-Aalborg-W-LT-539,72136.0,,pre-S::Select,,Aalborg W,2018-04-17,2018,,,,,,,,,,,,,,,
MQ190702-114,MQ190702,LIB-Aalborg-W-LT-541,46681.0,,pre-S::Select,,Aalborg W,2018-04-25,2018,,,,,,,,,,,,,,,
